select t.TABLE_NAME || '|' ||
       s.COLUMN_NAME || '|' ||
       s.DATA_TYPE || '|' ||
	   s.DATA_LENGTH || '|' ||
	   s.DATA_PRECISION || '|' ||
	   t.NUM_ROWS
from DBA_TABLES t,DBA_TAB_COLUMNS s
where t.table_name = s.table_name
and   t.OWNER  = '&schema';
&schema: MARES2
LAYOUT_SALVADOS_LIBERACAO_ERRO|MENSAGEM_ERRO|VARCHAR2|255||0
LAYOUT_SALVADOS_LIBERACAO_ERRO|NOME_CAMPO|VARCHAR2|255||0
LAYOUT_SALVADOS_LIBERACAO_ERRO|GRUPO_COTA|CHAR|10||0
LAYOUT_SALVADOS_LIBERACAO_ERRO|CNPJ_ADMINISTRADORA|CHAR|14||0
LAYOUT_SALVADOS_LIBERACAO_ERRO|LINHA|NUMBER|22|5|0
CONS_TEMP|STATUS|VARCHAR2|2||300761
CONS_TEMP|GRUPO_COTA|VARCHAR2|10||300761
LAYOUT_CONS_HONDA|CPF|VARCHAR2|11||301545
LAYOUT_CONS_HONDA|CNPJ|VARCHAR2|14||301545
LAYOUT_CONS_HONDA|TIPO_PESSOA|VARCHAR2|1||301545
LAYOUT_CONS_HONDA|RAMAL1|NUMBER|22|5|301545
LAYOUT_CONS_HONDA|TELEFONE1|NUMBER|22|8|301545
LAYOUT_CONS_HONDA|DDD1|NUMBER|22|2|301545
LAYOUT_CONS_HONDA|ESTADO1|VARCHAR2|2||301545
LAYOUT_CONS_HONDA|CIDADE1|VARCHAR2|20||301545
LAYOUT_CONS_HONDA|CEP1|NUMBER|22|8|301545
LAYOUT_CONS_HONDA|COMPLEMENTO1|VARCHAR2|10||301545
LAYOUT_CONS_HONDA|NUMERO1|NUMBER|22|5|301545
LAYOUT_CONS_HONDA|ENDERECO1|VARCHAR2|40||301545
LAYOUT_CONS_HONDA|RAMAL|NUMBER|22|5|301545
LAYOUT_CONS_HONDA|TELEFONE|NUMBER|22|8|301545
LAYOUT_CONS_HONDA|DDD|NUMBER|22|2|301545
LAYOUT_CONS_HONDA|ESTADO|VARCHAR2|2||301545
LAYOUT_CONS_HONDA|CIDADE|VARCHAR2|20||301545
LAYOUT_CONS_HONDA|CEP|NUMBER|22|8|301545
LAYOUT_CONS_HONDA|COMPLEMENTO|VARCHAR2|10||301545
LAYOUT_CONS_HONDA|NUMERO|NUMBER|22|5|301545
LAYOUT_CONS_HONDA|ENDERECO|VARCHAR2|40||301545
LAYOUT_CONS_HONDA|GRUPO_COTA_RD_DE|VARCHAR2|10||301545
LAYOUT_CONS_HONDA|PERC_REAL_ATRASO|FLOAT|22|23|301545
LAYOUT_CONS_HONDA|PERC_AMORT_PLD|FLOAT|22|23|301545
LAYOUT_CONS_HONDA|DT_ULT_ADIANT|DATE|7||301545
LAYOUT_CONS_HONDA|VL_CATEG_COM|FLOAT|22|49|301545
LAYOUT_CONS_HONDA|VL_CATEG_SEM|FLOAT|22|49|301545
LAYOUT_CONS_HONDA|VL_ATRASO|FLOAT|22|49|301545
LAYOUT_CONS_HONDA|VL_PARCELA|FLOAT|22|49|301545
LAYOUT_CONS_HONDA|VL_ATRASO_REAL|FLOAT|22|49|301545
LAYOUT_CONS_HONDA|ORIGEM|VARCHAR2|1||301545
LAYOUT_CONS_HONDA|ESPECIE|VARCHAR2|3||301545
LAYOUT_CONS_HONDA|PERC_MENSAL|FLOAT|22|23|301545
LAYOUT_CONS_HONDA|REGIAO|VARCHAR2|35||301545
LAYOUT_CONS_HONDA|REVENDA|VARCHAR2|35||301545
LAYOUT_CONS_HONDA|SIT_GRUPO|VARCHAR2|1||301545
LAYOUT_CONS_HONDA|ESCRITORIO|VARCHAR2|35||301545
LAYOUT_CONS_HONDA|DT_ASSEMB_FECH|DATE|7||301545
LAYOUT_CONS_HONDA|NRO_ULT_ASSEMB|NUMBER|22|10|301545
LAYOUT_CONS_HONDA|PRAZO|NUMBER|22|10|301545
LAYOUT_CONS_HONDA|MODELO|VARCHAR2|12||301545
