select t.OWNER || '|' ||
       t.TRIGGER_NAME || '|' ||
	   t.TABLE_NAME || '|' ||
	   t.TRIGGER_TYPE || '|' ||
	   t.COLUMN_NAME || '|' ||
	   t.STATUS
from DBA_TRIGGERS t;
OLAPSYS|CWM$MEASUREDEL|CWM$MEASURE|BEFORE EACH ROW||ENABLED
OLAPSYS|CWM$CUBEDEL|CWM$CUBE|BEFORE EACH ROW||ENABLED
OLAPSYS|CWM$LEVELDEL|CWM$LEVEL|BEFORE EACH ROW||ENABLED
OLAPSYS|CWM$CLASSIFICATIONENTRYUPD|CWM$CLASSIFICATIONENTRY|BEFORE EACH ROW||ENAB
OLAPSYS|CWM$DIMENSIONDEL|CWM$DIMENSION|BEFORE EACH ROW||ENABLED
OLAPSYS|CWM2$DIMENSIONDEL|CWM2$DIMENSION|BEFORE EACH ROW||ENABLED
OLAPSYS|CWM2$LEVELDEL|CWM2$LEVEL|BEFORE EACH ROW||ENABLED
OLAPSYS|CWM2$HIERCUSTOMSORTUPD|CWM2$HIERCUSTOMSORT|BEFORE EACH ROW||ENABLED
OLAPSYS|CWM2$DIMENSIONATTRIBUTEUPD|CWM2$DIMENSIONATTRIBUTE|BEFORE EACH ROW||ENAB
OLAPSYS|CWM2$AW_DIMENSIONMAPUPD|CWM2$AW_DIMENSIONMAP|BEFORE EACH ROW||ENABLED
OLAPSYS|CWM2$DIMHIERLVLMAPUPD|CWM2$DIMHIERLVLMAP|BEFORE EACH ROW||ENABLED
OLAPSYS|CWM2$CUBEDIMENSIONUSEUPD|CWM2$CUBEDIMENSIONUSE|BEFORE EACH ROW||ENABLED
OLAPSYS|CWM2$MEASUREDEL|CWM2$MEASURE|BEFORE EACH ROW||ENABLED
OLAPSYS|CWM2$MEASUREUPD|CWM2$MEASURE|BEFORE EACH ROW||ENABLED
OLAPSYS|CWM2$CUBEDEL|CWM2$CUBE|BEFORE EACH ROW||ENABLED
OLAPSYS|CWM2$CUBEUPD|CWM2$CUBE|BEFORE EACH ROW||ENABLED
OLAPSYS|CWM2$LEVELATTRIBUTEMAPUPD|CWM2$LEVELATTRIBUTEMAP|BEFORE EACH ROW||ENABLE
OLAPSYS|CWM2$LEVELATTRIBUTEUPD|CWM2$LEVELATTRIBUTE|BEFORE EACH ROW||ENABLED
OLAPSYS|CWM2$AWCUBELOADPARMVALUEUPD|CWM2$AWCUBELOADPARMVALUE|BEFORE EACH ROW||EN
OLAPSYS|CWM2$AWCUBELOADFILTERUPD|CWM2$AWCUBELOADFILTER|BEFORE EACH ROW||ENABLED
OLAPSYS|CWM2$AWCUBELOADUPD|CWM2$AWCUBELOAD|BEFORE EACH ROW||ENABLED
OLAPSYS|CWM2$AWDIMLOADPARMVALUEUPD|CWM2$AWDIMLOADPARMVALUE|BEFORE EACH ROW||ENAB
OLAPSYS|CWM2$AWDIMLOADFILTERUPD|CWM2$AWDIMLOADFILTER|BEFORE EACH ROW||ENABLED
OLAPSYS|CWM2$AWDIMLOADUPD|CWM2$AWDIMLOAD|BEFORE EACH ROW||ENABLED
OLAPSYS|CWM2$CLASSIFICATIONVPUPD|CWM2$CLASSIFICATIONVALUEPAIR|BEFORE EACH ROW||E
OLAPSYS|CWM2$AWVIEWCOLSUPD|CWM2$AWVIEWCOLS|BEFORE EACH ROW||ENABLED
OLAPSYS|CWM2$AWVIEWSUPD|CWM2$AWVIEWS|BEFORE EACH ROW||ENABLED
OLAPSYS|CWM2$AWCUBECOMPPLANUPD|CWM2$AWCUBECOMPPLAN|BEFORE EACH ROW||ENABLED
OLAPSYS|CWM2$AWCOMPSPECMEMBERSHIPUPD|CWM2$AWCOMPSPECMEMBERSHIP|BEFORE EACH ROW||
OLAPSYS|CWM2$AWCOMPOSITESPECUPD|CWM2$AWCOMPOSITESPEC|BEFORE EACH ROW||ENABLED
OLAPSYS|CWM2$AWCUBEAGGMEASUREUPD|CWM2$AWCUBEAGGMEASURE|BEFORE EACH ROW||ENABLED
OLAPSYS|CWM2$AWCUBEAGGLEVELUPD|CWM2$AWCUBEAGGLEVEL|BEFORE EACH ROW||ENABLED
OLAPSYS|CWM2$AWCUBEAGGUPD|CWM2$AWCUBEAGG|BEFORE EACH ROW||ENABLED
OLAPSYS|CWM2$AWCUBELOADAGGPLANUPD|CWM2$AWCUBELOADAGGPLAN|BEFORE EACH ROW||ENABLE
OLAPSYS|CWM2$AWCUBELOADMEASUREUPD|CWM2$AWCUBELOADMEASURE|BEFORE EACH ROW||ENABLE
OLAPSYS|CWM2$STOREDDIMLVLTPLSDTLUPD|CWM2$STOREDDIMLVLTPLSDTL|BEFORE EACH ROW||EN
OLAPSYS|CWM2$STOREDDIMLVLTPLSUPD|CWM2$STOREDDIMLVLTPLS|BEFORE EACH ROW||ENABLED
OLAPSYS|CWM2$AW_MEASUREMAPUPD|CWM2$AW_MEASUREMAP|BEFORE EACH ROW||ENABLED
OLAPSYS|CWM2$FACTKEYDIMHIERLVLMAPUPD|CWM2$FACTKEYDIMHIERLVLMAP|BEFORE EACH ROW||
OLAPSYS|CWM2$FACTKEYDIMHIERMAPUPD|CWM2$FACTKEYDIMHIERMAP|BEFORE EACH ROW||ENABLE
OLAPSYS|CWM2$MEASURETABLEMAPUPD|CWM2$MEASURETABLEMAP|BEFORE EACH ROW||ENABLED
OLAPSYS|CWM2$FACTDIMHIERTPLSDTLUPD|CWM2$FACTDIMHIERTPLSDTL|BEFORE EACH ROW||ENAB
OLAPSYS|CWM2$FACTDIMHIERMAPUPD|CWM2$FACTDIMHIERMAP|BEFORE EACH ROW||ENABLED
OLAPSYS|CWM2$HIERLEVELRELUPD|CWM2$HIERLEVELREL|BEFORE EACH ROW||ENABLED
OLAPSYS|CWM2$HIERARCHYUPD|CWM2$HIERARCHY|BEFORE EACH ROW||ENABLED
OLAPSYS|CWM2$LEVELUPD|CWM2$LEVEL|BEFORE EACH ROW||ENABLED
OLAPSYS|CWM2$DIMENSIONUPD|CWM2$DIMENSION|BEFORE EACH ROW||ENABLED
OLAPSYS|CWM$CLASSIFICATIONUPD|CWM$CLASSIFICATION|BEFORE EACH ROW||ENABLED
SYSMAN|MASTER_AGENT_CHANGE_TRIGGER|MGMT_MASTER_AGENT|BEFORE EACH ROW||ENABLED
SYSMAN|CHECK_DUPLICATE_TARGETS|MGMT_TARGETS|BEFORE EACH ROW||ENABLED
SYSMAN|TARGET_PROP_DEFS_TR|MGMT_TARGET_PROP_DEFS|BEFORE EACH ROW||ENABLED
SYSMAN|MGMT_DB_HDM_METRIC_TR|MGMT_DB_HDM_METRIC_HELPER|BEFORE EACH ROW||ENABLED
SYSMAN|MGMT_SQL_METRIC_TR|MGMT_SQL_METRIC_HELPER|BEFORE EACH ROW||ENABLED
SYSMAN|MGMT_SEVERITY_UPDATES|MGMT_SEVERITY|BEFORE EACH ROW||ENABLED
SYSMAN|METRICS_SEVERITY_DUPLICATES|MGMT_SEVERITY|BEFORE EACH ROW||ENABLED
SYSMAN|SEVERITY_DELETE|MGMT_SEVERITY|AFTER EACH ROW||ENABLED
SYSMAN|JOB_CMD_BLK_DELETE_TRIGGER|MGMT_JOB_STEP_COMMAND_LOG|BEFORE EACH ROW||ENA
SYSMAN|JOB_EXEC_UPDATE_TRIGGER|MGMT_JOB_EXECUTION|BEFORE EACH ROW||ENABLED
SYSMAN|MGMT_JOB_EXEC_UPDATE|MGMT_JOB_EXECUTION|AFTER EACH ROW||ENABLED
SYSMAN|MGMT_JOB_EXEC_INSERT|MGMT_JOB_EXECUTION|AFTER EACH ROW||ENABLED
SYSMAN|JOB_EXEC_DELETE_TRIGGER|MGMT_JOB_HISTORY|AFTER EACH ROW||ENABLED
SYSMAN|MGMT_JOB_PARAM_DELETE|MGMT_JOB_PARAMETER|AFTER EACH ROW||ENABLED
SYSMAN|MGMT_METRIC_COLL_INS|MGMT_METRIC_COLLECTIONS|AFTER EACH ROW||ENABLED
SYSMAN|BLACKOUT_WINDOW_INSERT|MGMT_BLACKOUT_WINDOWS|BEFORE EACH ROW||ENABLED
SYSMAN|HANDLE_RELATED_TARGETS|MGMT_BLACKOUT_STATE|BEFORE EACH ROW||ENABLED
SYSMAN|BLACKOUT_CHANGE|MGMT_BLACKOUT_STATE|BEFORE EACH ROW||ENABLED
SYSMAN|BLACKOUT_STATUS|MGMT_BLACKOUT_FLAT_TARGETS|AFTER EACH ROW||ENABLED
SYSMAN|INSERT_FLAT_TARGETS|MGMT_BLACKOUT_TARGET_DETAILS|AFTER EACH ROW||ENABLED
SYSMAN|UPDATE_SOURCE|MGMT_BLACKOUT_SCHEDULE|BEFORE EACH ROW||ENABLED
SYSMAN|METRIC_ERRORS_CUR_AND_DUPES|MGMT_METRIC_ERRORS|BEFORE EACH ROW||ENABLED
SYSMAN|RAW_METRICS_AFTER_INSERT|MGMT_METRICS_RAW|AFTER EACH ROW||ENABLED
SYSMAN|MGMT_JOB_PARAM_INSERT|MGMT_JOB_PARAMETER|BEFORE EACH ROW||ENABLED
SYSMAN|JOB_SUMM_INS_TRIGGER|MGMT_JOB_EXEC_SUMMARY|BEFORE EACH ROW||ENABLED
SYSMAN|JOB_TARGET_DEL_TRIGGER|MGMT_JOB_TARGET|AFTER EACH ROW||ENABLED
SYSMAN|JOB_TARGET_INSERT_TRIGGER|MGMT_JOB_TARGET|AFTER EACH ROW||ENABLED
SYSMAN|JOB_DELETE_TRIGGER|MGMT_JOB|AFTER EACH ROW||ENABLED
SYSMAN|EXECPLAN_DELETE_TRIGGER|MGMT_JOB_EXECPLAN|AFTER EACH ROW||ENABLED
SYSMAN|MEMBER_DELETION_TRIGGER|MGMT_TARGET_MEMBERSHIPS|AFTER EACH ROW||ENABLED
