select t.TABLE_NAME || '|' ||
       s.COLUMN_NAME || '|' ||
       s.DATA_TYPE || '|' ||
	   s.DATA_LENGTH || '|' ||
	   s.DATA_PRECISION || '|' ||
	   t.NUM_ROWS
from DBA_TABLES t,DBA_TAB_COLUMNS s
where t.table_name = s.table_name
and   t.OWNER  = '&schema';
&schema: MARESADM
APL_OBS_FAT|DESCR_OBS_FAT|CHAR|400||7
APL_OBS_FAT|COD_OBS_FAT|NUMBER|22||7
CUSTOS_DOCUMENTO_DT|DT_TABELA|DATE|7||30
AUX_RECIBOS_COM|NUM_RECIBO|NUMBER|22|8|0
NN_CERT_FIA|NOSSO_NUMERO|CHAR|13||63446
NN_CERT_FIA|PARCELA|NUMBER|22|2|63446
NN_CERT_FIA|APL|CHAR|14||63446
AUX_PERC_COM_COSS|PERC_COM|FLOAT|22|126|2
AUX_PERC_COM_COSS|APL|CHAR|14||2
ARQ_RET_TAXA|ARQ_RET_TAXA|CHAR|500||0
ARQRETCNH|ARQRETCNH|CHAR|300||59093
ARQ_CT_RST|LINHA_500|CHAR|500||0
ARQ_CT_SEG|LINHA_500|CHAR|500||0
ARQ_CT_TAX|LINHA_500|CHAR|500||0
ARQINVMENSAL|ARQINVMENSAL|CHAR|250||1
ARQ_CT_PEP|LINHA_500|CHAR|500||0
FAT_LIB_CRI|CGC_CPF|CHAR|14||0
FAT_LIB_CRI|GRUPO_COTA|CHAR|20||0
FAT_LIB_CRI|APOLICE|CHAR|14||0
ARQ_CT_LMI|LINHA_500|CHAR|500||0
ARQ_CT_IDA|LINHA_500|CHAR|500||0
ARQ_CT_ANA|LINHA_500|CHAR|500||0
FAT_LMI_CPF|TOTAL_LMI|FLOAT|22|126|0
FAT_LMI_CPF|CGC_CPF|CHAR|14||0
FAT_LMI_CPF|AAMM_COMP|NUMBER|22|6|0
FAT_LMI_CPF|APOLICE|CHAR|14||0
PRE_SINISTROS_SAN|LEGADO_SN|CHAR|1||20671
PRE_SINISTROS_SAN|TIPO_EXP|CHAR|9||20671
PRE_SINISTROS_SAN|TIPO_GRUPO|CHAR|35||20671
PRE_SINISTROS_SAN|TIPO_COTA|CHAR|3||20671
PRE_SINISTROS_SAN|DT_STATUS|DATE|7||20671
PRE_SINISTROS_SAN|STATUS|CHAR|3||20671
PRE_SINISTROS_SAN|ESCRITORIO|CHAR|35||20671
PRE_SINISTROS_SAN|IDENTIFICADOR_BANCO|CHAR|25||20671
PRE_SINISTROS_SAN|DT_ULT_ADIANT|DATE|7||20671
PRE_SINISTROS_SAN|PERC_ADESAO|FLOAT|22|63|20671
PRE_SINISTROS_SAN|PERC_SEGURO|FLOAT|22|63|20671
PRE_SINISTROS_SAN|PERC_FUNDO_RESERVA|FLOAT|22|63|20671
PRE_SINISTROS_SAN|PERC_TAXA_ADM|FLOAT|22|63|20671
PRE_SINISTROS_SAN|VLR_PARCELA|FLOAT|22|126|20671
PRE_SINISTROS_SAN|VLR_ATRASO|FLOAT|22|126|20671
PRE_SINISTROS_SAN|PC_INADIMPLENTE|NUMBER|22||20671
PRE_SINISTROS_SAN|PRAZO|NUMBER|22||20671
PRE_SINISTROS_SAN|VLR_BEM|FLOAT|22|126|20671
PRE_SINISTROS_SAN|PERC_MENSAL|FLOAT|22|63|20671
PRE_SINISTROS_SAN|PERC_ADIANT|FLOAT|22|63|20671
PRE_SINISTROS_SAN|PERC_ATRASO|FLOAT|22|63|20671
PRE_SINISTROS_SAN|PERC_AMORTIZADO|FLOAT|22|63|20671
PRE_SINISTROS_SAN|DT_EXPECTATIVA|DATE|7||20671
PRE_SINISTROS_SAN|DT_INADIMPLENCIA|DATE|7||20671
PRE_SINISTROS_SAN|CNPJ_CPF|CHAR|18||20671
PRE_SINISTROS_SAN|CHASSI|CHAR|17||20671
PRE_SINISTROS_SAN|TIPO_BEM|CHAR|1||20671
PRE_SINISTROS_SAN|LOTE|NUMBER|22||20671
PRE_SINISTROS_SAN|DT_GERACAO|DATE|7||20671
