select t.TABLE_NAME || '|' ||
       s.COLUMN_NAME || '|' ||
       s.DATA_TYPE || '|' ||
	   s.DATA_LENGTH || '|' ||
	   s.DATA_PRECISION || '|' ||
	   t.NUM_ROWS
from DBA_TABLES t,DBA_TAB_COLUMNS s
where t.table_name = s.table_name
and   t.OWNER  = '&schema';
&schema: RCGERALADM
ADMCOBERTURA|CILSTFORMAPAGTO|VARCHAR2|500||74
ADMCOBERTURA|CICIA|NUMBER|22|2|74
ADMCOBERTURA|CICOBERTURA|NUMBER|22|3|74
ADMCOBERTURA|CDMCAONLINE|VARCHAR2|1||74
ADMCOBERTURA|NRREAMAXLMG|NUMBER|22||74
ADMCOBERTURA|PCPERCMAXDM|NUMBER|22|5|74
ADMCOBERTURA|PCPERCMAXLMG|NUMBER|22|5|74
ADMCOBERTURA|PCPERCMINLMG|NUMBER|22|5|74
ADMCOBERTURA|PCPERCMINDM|NUMBER|22|5|74
ADMCOBERTURA|CDUSUARIOINCLUSAO|VARCHAR2|10||74
ADMCOBERTURA|DHINCLUSAO|DATE|7||74
ADMCOBERTURA|CDUSUARIOALTERACAO|VARCHAR2|10||74
ADMCOBERTURA|DHALTERACAO|DATE|7||74
ARQUIVOCOTACAO|CICIA|NUMBER|22|2|7
ARQUIVOCOTACAO|NRCOTACAO|NUMBER|22|18|7
ARQUIVOCOTACAO|CIARQUIVO|NUMBER|22|6|7
ARQUIVOCOTACAO|NMARQUIVO|VARCHAR2|200||7
ARQUIVOCOTACAO|NRTAMANHO|NUMBER|22|12|7
ARQUIVOCOTACAO|CDTIPOCONTEUDO|VARCHAR2|100||7
ARQUIVOCOTACAO|BBCONTEUDO|BLOB|4000||7
ARQUIVOCOTACAO|CDUSUARIOINCLUSAO|VARCHAR2|10||7
ARQUIVOCOTACAO|DHINCLUSAO|DATE|7||7
ARQUIVOCOTACAO|CDUSUARIOALTERACAO|VARCHAR2|10||7
ARQUIVOCOTACAO|DHALTERACAO|DATE|7||7
ARQUIVOCOTACAO|CDRESPONSAVEL|VARCHAR2|1||7
ATIVIDADECOTACAO|CICIA|NUMBER|22|2|136
ATIVIDADECOTACAO|CIMODALIDADE|NUMBER|22|3|136
ATIVIDADECOTACAO|CIATIVIDADE|NUMBER|22|6|136
ATIVIDADECOTACAO|DCATIVIDADE|VARCHAR2|250||136
ATIVIDADECOTACAO|CDCLASSERISCOOPER|VARCHAR2|20||136
ATIVIDADECOTACAO|CDCLASSERISCOPROD|VARCHAR2|20||136
ATIVIDADECOTACAO|CDUSUARIOINCLUSAO|VARCHAR2|10||136
ATIVIDADECOTACAO|DHINCLUSAO|DATE|7||136
ATIVIDADECOTACAO|CDUSUARIOALTERACAO|VARCHAR2|10||136
ATIVIDADECOTACAO|DHALTERACAO|DATE|7||136
BASECOTACAO|CICIA|NUMBER|22|2|6
BASECOTACAO|CIBASE|NUMBER|22|3|6
BASECOTACAO|DCBASE|VARCHAR2|30||6
BASECOTACAO|CDUSUARIOINCLUSAO|VARCHAR2|10||6
BASECOTACAO|DHINCLUSAO|DATE|7||6
BASECOTACAO|CDUSUARIOALTERACAO|VARCHAR2|10||6
BASECOTACAO|DHALTERACAO|DATE|7||6
CADASTROQUESTIONARIO|CICIA|NUMBER|22|2|210
CADASTROQUESTIONARIO|CIQUESTIONARIO|NUMBER|22|3|210
CADASTROQUESTIONARIO|NRSEQUENCIA|NUMBER|22|3|210
CADASTROQUESTIONARIO|CITIPOCOMPLEMENTO|NUMBER|22|3|210
CADASTROQUESTIONARIO|DCQUESTIONARIO|VARCHAR2|600||210
CADASTROQUESTIONARIO|CDUSUARIOINCLUSAO|VARCHAR2|10||210
CADASTROQUESTIONARIO|DHINCLUSAO|DATE|7||210
CADASTROQUESTIONARIO|CDUSUARIOALTERACAO|VARCHAR2|10||210
CADASTROQUESTIONARIO|DHALTERACAO|DATE|7||210
CADASTROQUESTIONARIO|CITIPORESPOSTA|NUMBER|22|3|210
