select t.OWNER || '|' ||
       t.TRIGGER_NAME || '|' ||
	   t.TABLE_NAME || '|' ||
	   t.TRIGGER_TYPE || '|' ||
	   t.COLUMN_NAME || '|' ||
	   t.STATUS
from DBA_TRIGGERS t;
SYSTEM|REPCATLOGTRIG|REPCAT$_REPCATLOG|AFTER STATEMENT||ENABLED
SYSTEM|DEF$_PROPAGATOR_TRIG|DEF$_PROPAGATOR|BEFORE STATEMENT||ENABLED
RCGERALADM|ARQUIVOCOTACAO_CIARQUIVO|ARQUIVOCOTACAO|BEFORE EACH ROW||ENABLED
RCGERALADM|CALCULOCOTACAO_CICALCULO|CALCULOCOTACAO|BEFORE EACH ROW||ENABLED
RCGERALADM|MOTIVOSUBSCRICAO_CIMOTIV|MOTIVOSUBSCRICAO|BEFORE EACH ROW||ENABLED
RCGERALADM|QUESTIONARIOCOBERTURA_CIQUEST|QUESTIONARIOCOBERTURA|BEFORE EACH ROW||
RCGERALADM|TERCEIRO_CITERCEIRO|TERCEIRO|BEFORE EACH ROW||ENABLED
RCGERALADM|VALORESRISCOCOT_CIVALORRISCO|VALORESRISCOCOTACAO|BEFORE EACH ROW||ENA
XDB|XDB_RV_TRIG|RESOURCE_VIEW|INSTEAD OF||ENABLED
XDB|XDB_PV_TRIG|PATH_VIEW|INSTEAD OF||ENABLED
XDB|description94_TAB$xd|description94_TAB|AFTER EACH ROW||ENABLED
XDB|title93_TAB$xd|title93_TAB|AFTER EACH ROW||ENABLED
XDB|XDB$ACL$xd|XDB$ACL|AFTER EACH ROW||ENABLED
XDB|SERVLET$xd|SERVLET|AFTER EACH ROW||ENABLED
XDB|XDB$RESCONFIG$xd|XDB$RESCONFIG|AFTER EACH ROW||ENABLED
XDB|xdb-log13_TAB$xd|xdb-log13_TAB|AFTER EACH ROW||ENABLED
XDB|ftp-log21_TAB$xd|ftp-log21_TAB|AFTER EACH ROW||ENABLED
XDB|http-log30_TAB$xd|http-log30_TAB|AFTER EACH ROW||ENABLED
XDB|Folder36_TAB$xd|Folder36_TAB|AFTER EACH ROW||ENABLED
XDB|include47_TAB$xd|include47_TAB|AFTER EACH ROW||ENABLED
XDB|fallback42_TAB$xd|fallback42_TAB|AFTER EACH ROW||ENABLED
XDB|fallback43_TAB$xd|fallback43_TAB|AFTER EACH ROW||ENABLED
XDB|include66_TAB$xd|include66_TAB|AFTER EACH ROW||ENABLED
XDB|fallback61_TAB$xd|fallback61_TAB|AFTER EACH ROW||ENABLED
XDB|fallback62_TAB$xd|fallback62_TAB|AFTER EACH ROW||ENABLED
XDB|XDB$STATS$xd|XDB$STATS|AFTER EACH ROW||ENABLED
XDB|XDB$CONFIG$xd|XDB$CONFIG|AFTER EACH ROW||ENABLED
XDB|XDBCONFIG_VALIDATE|XDB$CONFIG|BEFORE EACH ROW||ENABLED
XDB|XS$DATA_SECURITY$xd|XS$DATA_SECURITY|AFTER EACH ROW||ENABLED
XDB|XS$ROLESETS$xd|XS$ROLESETS|AFTER EACH ROW||ENABLED
XDB|XS$SECURITYCLASS$xd|XS$SECURITYCLASS|AFTER EACH ROW||ENABLED
XDB|aggregatePrivilege108_TAB$xd|aggregatePrivilege108_TAB|AFTER EACH ROW||ENABL
XDB|privilege107_TAB$xd|privilege107_TAB|AFTER EACH ROW||ENABLED
XDB|description104_TAB$xd|description104_TAB|AFTER EACH ROW||ENABLED
XDB|title103_TAB$xd|title103_TAB|AFTER EACH ROW||ENABLED
LIVEREORGADM|QUEST_SCRIPT_GROUP_B4I|QUEST_SCRIPT_GROUP|BEFORE EACH ROW||ENABLED
LIVEREORGADM|QUEST_SCRIPT_B4I|QUEST_SCRIPT|BEFORE EACH ROW||ENABLED
LIVEREORGADM|QUEST_SPC_PARAMETER_B4I|QUEST_SPC_PARAMETER|BEFORE EACH ROW||ENABLE
LIVEREORGADM|QUEST_SPC_PARAMETER_B4IU|QUEST_SPC_PARAMETER|BEFORE EACH ROW||ENABL
LIVEREORGADM|QUEST_SPC_ANALYSIS_GROUP_B4I|QUEST_SPC_ANALYSIS_GROUP|BEFORE EACH R
LIVEREORGADM|QUEST_SPC_REORG_PARAM_B4I|QUEST_SPC_REORG_PARAM|BEFORE EACH ROW||EN
LIVEREORGADM|QUEST_SPC_REORG_HISTORY_ID_B4I|QUEST_SPC_REORG_HISTORY|BEFORE EACH
LIVEREORGADM|QUEST_SPC_REORG_OBJECT_B4I|QUEST_SPC_REORG_OBJECT|BEFORE EACH ROW||
LIVEREORGADM|QUEST_SPC_REORG_GROUP_B4I|QUEST_SPC_REORG_GROUP|BEFORE EACH ROW||EN
LIVEREORGADM|QUEST_SPC_TABLESPACES_B4I|QUEST_SPC_TABLESPACES|BEFORE EACH ROW||EN
LIVEREORGADM|QUEST_SPC_TABLESPACES_B4U|QUEST_SPC_TABLESPACES|BEFORE EACH ROW||EN
LIVEREORGADM|QUEST_SPC_SEGMENTS_B4I|QUEST_SPC_SEGMENTS|BEFORE EACH ROW||ENABLED
LIVEREORGADM|QUEST_SPC_SEGMENTS_B4U|QUEST_SPC_SEGMENTS|BEFORE EACH ROW||ENABLED
LIVEREORGADM|QUEST_SPC_SEGMENT_PARENTS_B4I|QUEST_SPC_SEGMENT_PARENTS|BEFORE EACH
LIVEREORGADM|QUEST_SPC_SEGMENT_PARENTS_B4U|QUEST_SPC_SEGMENT_PARENTS|BEFORE EACH
LIVEREORGADM|QUEST_SPC_SPACE_INFO_B4I|QUEST_SPC_SPACE_INFO|BEFORE EACH ROW||ENAB
LIVEREORGADM|QUEST_SPC_SPACE_INFO_B4U|QUEST_SPC_SPACE_INFO|BEFORE EACH ROW||ENAB
LIVEREORGADM|QUEST_SPC_STAT_HISTORY_B4I|QUEST_SPC_STAT_HISTORY|BEFORE EACH ROW||
LIVEREORGADM|QUEST_SPC_STAT_HISTORY_B4U|QUEST_SPC_STAT_HISTORY|BEFORE EACH ROW||
WEBMETHODSADM|CMPNNTVNT_RBI|COMPONENT_EVENT|BEFORE EACH ROW||ENABLED
WEBMETHODSADM|CMPNNTVNT_RBIU|COMPONENT_EVENT|BEFORE EACH ROW||ENABLED
WEBMETHODSADM|CCSLGCLSRVR_RID|CCS_LOGICAL_SERVER|BEFORE EACH ROW||ENABLED
WEBMETHODSADM|CCSLSCNFGRTN_RBI|CCS_ALIAS_CONFIGURATION|BEFORE EACH ROW||ENABLED
WEBMETHODSADM|CCSLSCNFGRTN_RBIU|CCS_ALIAS_CONFIGURATION|BEFORE EACH ROW||ENABLED
WEBMETHODSADM|CCSLSCNFSSGNMNT_RBI|CCS_LS_CNF_ASSIGNMENT|BEFORE EACH ROW||ENABLED
WEBMETHODSADM|CCSLSCNFSSGNMNT_RBIU|CCS_LS_CNF_ASSIGNMENT|BEFORE EACH ROW||ENABLE
WEBMETHODSADM|CCSNVCNFSSGNMNT_RBI|CCS_ENV_CNF_ASSIGNMENT|BEFORE EACH ROW||ENABLE
WEBMETHODSADM|CCSNVCNFSSGNMNT_RBIU|CCS_ENV_CNF_ASSIGNMENT|BEFORE EACH ROW||ENABL
WEBMETHODSADM|CCSNVLSSSGNMNT_RBI|CCS_ENV_LS_ASSIGNMENT|BEFORE EACH ROW||ENABLED
WEBMETHODSADM|CCSNVLSSSGNMNT_RBIU|CCS_ENV_LS_ASSIGNMENT|BEFORE EACH ROW||ENABLED
WEBMETHODSADM|CCSNVRNMNTSTT_RBI|CCS_ENVIRONMENT_STATE|BEFORE EACH ROW||ENABLED
WEBMETHODSADM|CCSNVRNMNTSTT_RBIU|CCS_ENVIRONMENT_STATE|BEFORE EACH ROW||ENABLED
WEBMETHODSADM|CCSNVRNMNT_RBI|CCS_ENVIRONMENT|BEFORE EACH ROW||ENABLED
WEBMETHODSADM|CCSNVRNMNT_RBIU|CCS_ENVIRONMENT|BEFORE EACH ROW||ENABLED
WEBMETHODSADM|CCSNVRNMNT_RID|CCS_ENVIRONMENT|BEFORE EACH ROW||ENABLED
WEBMETHODSADM|CCSPHYSCLSRVR_RBI|CCS_PHYSICAL_SERVER|BEFORE EACH ROW||ENABLED
WEBMETHODSADM|CCSPHYSCLSRVR_RBIU|CCS_PHYSICAL_SERVER|BEFORE EACH ROW||ENABLED
WEBMETHODSADM|CCSPLCNFGRTN_RBI|CCS_POOL_CONFIGURATION|BEFORE EACH ROW||ENABLED
WEBMETHODSADM|CCSPLCNFGRTN_RBIU|CCS_POOL_CONFIGURATION|BEFORE EACH ROW||ENABLED
WEBMETHODSADM|CCSSRVRSSGNMNT_RBI|CCS_SERVER_ASSIGNMENT|BEFORE EACH ROW||ENABLED
WEBMETHODSADM|CCSSRVRSSGNMNT_RBIU|CCS_SERVER_ASSIGNMENT|BEFORE EACH ROW||ENABLED
WEBMETHODSADM|CCSSRVRSSGNMNT_RID|CCS_SERVER_ASSIGNMENT|AFTER EACH ROW||ENABLED
WEBMETHODSADM|CCSCNFGRTNPSS_RBI|CCS_CONFIGURATION_PASSWORD|BEFORE EACH ROW||ENAB
WEBMETHODSADM|CCSCNFGRTNPSS_RBIU|CCS_CONFIGURATION_PASSWORD|BEFORE EACH ROW||ENA
WEBMETHODSADM|BI_CLS_TXN_EVENT|CLS_TXN_EVENT|BEFORE EACH ROW||ENABLED
WEBMETHODSADM|BI_CLS_METRICS_EVENT|CLS_METRICS_EVENT|BEFORE EACH ROW||ENABLED
WEBMETHODSADM|BI_CLS_LC_EVENT|CLS_LC_EVENT|BEFORE EACH ROW||ENABLED
WEBMETHODSADM|BI_CLS_ERR_EVENT|CLS_ERR_EVENT|BEFORE EACH ROW||ENABLED
WEBMETHODSADM|BI_CLS_PV_EVENT|CLS_PV_EVENT|BEFORE EACH ROW||ENABLED
WEBMETHODSADM|BI_CLS_MON_EVENT|CLS_MON_EVENT|BEFORE EACH ROW||ENABLED
