select t.INDEX_NAME || '|' ||
       t.INDEX_TYPE || '|' ||
	   t.TABLE_NAME || '|' ||
	   t.VISIBILITY || '|' ||
       t.UNIQUENESS || '|' ||
	   t.STATUS
from DBA_INDEXES t
where t.OWNER = '&schema';
&schema: VCPP
A1000702_I|NORMAL|A1000702|VISIBLE|NONUNIQUE|VALID
A1001300VID_I|NORMAL|A1001300VID|VISIBLE|NONUNIQUE|VALID
A1001300VID_I2|NORMAL|A1001300VID|VISIBLE|NONUNIQUE|VALID
AAE_PK|NORMAL|AGU_ANL_ETU|VISIBLE|UNIQUE|VALID
AAI_AIE_FK_I|NORMAL|AGC_ADM_IPT|VISIBLE|NONUNIQUE|VALID
AAI_PK|NORMAL|AGC_ADM_IPT|VISIBLE|UNIQUE|VALID
AAI_SAI_FK_I|NORMAL|AGC_ADM_IPT|VISIBLE|NONUNIQUE|VALID
AAM_CNPJ_AGV_I|NORMAL|AGD_ARQ_MCS|VISIBLE|NONUNIQUE|VALID
AAM_COD_COR_I|NORMAL|AGD_ARQ_MCS|VISIBLE|NONUNIQUE|VALID
AAM_CPF_AGV_I|NORMAL|AGD_ARQ_MCS|VISIBLE|NONUNIQUE|VALID
AAM_PK|NORMAL|AGD_ARQ_MCS|VISIBLE|UNIQUE|VALID
ACD_EPJ_FK_I|NORMAL|ACD_OPR|VISIBLE|NONUNIQUE|VALID
ACD_PK|NORMAL|ACD_OPR|VISIBLE|UNIQUE|VALID
ACO_PK|NORMAL|AGU_CTB|VISIBLE|UNIQUE|VALID
ACO_SUN_PK|NORMAL|AGU_CTB_SUN|VISIBLE|UNIQUE|VALID
ADB_PK|NORMAL|ADC_BNF|VISIBLE|UNIQUE|VALID
ADE_AGC_FK_I|NORMAL|ADE|VISIBLE|NONUNIQUE|VALID
ADE_CTP_FK_I|NORMAL|ADE|VISIBLE|NONUNIQUE|VALID
ADE_DAT_I01|NORMAL|ADE|VISIBLE|NONUNIQUE|VALID
ADE_DAT_STA_I|NORMAL|ADE|VISIBLE|NONUNIQUE|VALID
ADE_FIM_VGC_I1|NORMAL|ADE_FIM_VGC|VISIBLE|NONUNIQUE|VALID
ADE_FIM_VGC_PK|NORMAL|ADE_FIM_VGC|VISIBLE|UNIQUE|VALID
ADE_IX|NORMAL|ADE|VISIBLE|NONUNIQUE|VALID
ADE_NUM_PRA|NORMAL|ADE|VISIBLE|NONUNIQUE|VALID
ADE_PK|NORMAL|ADE|VISIBLE|UNIQUE|VALID
ADE_RMO_FK_I|NORMAL|ADE|VISIBLE|NONUNIQUE|VALID
ADI_CTR_FK_I|NORMAL|ADI_CTR|VISIBLE|NONUNIQUE|VALID
ADI_PK|NORMAL|ADI_CTR|VISIBLE|UNIQUE|VALID
ADI_VPR_FK_I|NORMAL|ADI_CTR|VISIBLE|NONUNIQUE|VALID
ADM_PK|NORMAL|ADM|VISIBLE|UNIQUE|VALID
ADM_PRIME|NORMAL|AD_MODNOTES|VISIBLE|NONUNIQUE|VALID
ADP_ADE_FK_I|NORMAL|ADE_PND|VISIBLE|NONUNIQUE|VALID
ADP_PK|NORMAL|ADE_PND|VISIBLE|UNIQUE|VALID
ADS_CFI_FK_I|NORMAL|ADS|VISIBLE|NONUNIQUE|VALID
ADS_CJU_FK_I|NORMAL|ADS|VISIBLE|NONUNIQUE|VALID
ADU_ADE_FK_I|NORMAL|ADE_ETU|VISIBLE|NONUNIQUE|VALID
ADU_ADE_FK_I_1|NORMAL|ADE_ETU|VISIBLE|NONUNIQUE|VALID
ADU_PK|NORMAL|ADE_ETU|VISIBLE|UNIQUE|VALID
ADU_VET_FK_I|NORMAL|ADE_ETU|VISIBLE|NONUNIQUE|VALID
ADV_CUF_FK_I|NORMAL|ADV|VISIBLE|NONUNIQUE|VALID
ADV_PK|NORMAL|ADV|VISIBLE|UNIQUE|VALID
ADV_UK|NORMAL|ADV|VISIBLE|UNIQUE|VALID
AD_FUNTREE1|NORMAL|AD_FUNTREE|VISIBLE|NONUNIQUE|VALID
AD_FUNTREE2|NORMAL|AD_FUNTREE|VISIBLE|NONUNIQUE|VALID
AGB_PK|NORMAL|AGU_BNF|VISIBLE|UNIQUE|VALID
AGC_CTP_FK_I|NORMAL|AGU_CTC|VISIBLE|NONUNIQUE|VALID
AGC_PK|NORMAL|AGU_CTC|VISIBLE|UNIQUE|VALID
AGP_PK|NORMAL|AGU_PRD|VISIBLE|UNIQUE|VALID
AGU_CTP_COB_DTL_PK|NORMAL|AGU_CTP_COB_DTL|VISIBLE|UNIQUE|VALID
AGU_CTP_COB_PK|NORMAL|AGU_CTP_COB|VISIBLE|UNIQUE|VALID
AGU_PPC_I|NORMAL|AGU_CTP_COB|VISIBLE|NONUNIQUE|VALID
AGU_PRD_COB_DTL_PK|NORMAL|AGU_PRD_COB_DTL|VISIBLE|UNIQUE|VALID
AGU_PRD_COB_PK|NORMAL|AGU_PRD_COB|VISIBLE|UNIQUE|VALID
AIE_EPJ_FK_I|NORMAL|AGC_ADM_IPT_EMS|VISIBLE|NONUNIQUE|VALID
AIE_PK|NORMAL|AGC_ADM_IPT_EMS|VISIBLE|UNIQUE|VALID
AIM_PK|NORMAL|ADM_IPT|VISIBLE|UNIQUE|VALID
ALI_PK|NORMAL|ALI_IMT|VISIBLE|UNIQUE|VALID
AMC_ADE_FK_I|NORMAL|ATL_MNR_CTC_BNF|VISIBLE|NONUNIQUE|VALID
AMC_PK|NORMAL|ATL_MNR_CTC_BNF|VISIBLE|UNIQUE|VALID
AME_PK|NORMAL|ADM_MCD|VISIBLE|UNIQUE|VALID
ANO_TIP_ARQ_I|NORMAL|SUS_PTT|VISIBLE|NONUNIQUE|VALID
ANQ_PK|NORMAL|ANL_QST|VISIBLE|UNIQUE|VALID
ANQ_QST_FK_I|NORMAL|ANL_QST|VISIBLE|NONUNIQUE|VALID
APFC_PK|NORMAL|AGU_PRD_FCA|VISIBLE|UNIQUE|VALID
APF_PK|NORMAL|APL_FNC|VISIBLE|UNIQUE|VALID
APJ_PK|NORMAL|ATV_PSS_JRD|VISIBLE|UNIQUE|VALID
APJ_UK|NORMAL|ATV_PSS_JRD|VISIBLE|UNIQUE|VALID
APL_ETL_FK_I|NORMAL|APL|VISIBLE|NONUNIQUE|VALID
APL_GTT_IX1|NORMAL|APL_GTT|VISIBLE|NONUNIQUE|VALID
APL_IX|NORMAL|APL|VISIBLE|NONUNIQUE|VALID
APL_IX1|NORMAL|APL|VISIBLE|NONUNIQUE|VALID
APL_PK|NORMAL|APL|VISIBLE|UNIQUE|VALID
APL_PRD_FK_I|NORMAL|APL|VISIBLE|NONUNIQUE|VALID
APL_RAM_FK_I|NORMAL|APL|VISIBLE|NONUNIQUE|VALID
APL_TRJ_PK|NORMAL|CMO_APL_TXA_RJS|VISIBLE|UNIQUE|VALID
APO_BRR_FK_I|NORMAL|AGC_PST|VISIBLE|NONUNIQUE|VALID
APO_PK|NORMAL|AGC_PST|VISIBLE|UNIQUE|VALID
ARI_PK|NORMAL|CTL_ARQ_ITC_IAS|VISIBLE|UNIQUE|VALID
ARQ_EXN_PK|NORMAL|ARQ_EXN_FEC|VISIBLE|UNIQUE|VALID
ARQ_FEC_ARQ_EXN_FK_I|NORMAL|ARQ_FEC|VISIBLE|NONUNIQUE|VALID
ARQ_FEC_PK|NORMAL|ARQ_FEC|VISIBLE|UNIQUE|VALID
ARV_COD_I|NORMAL|AUX_REL_VIDA|VISIBLE|NONUNIQUE|VALID
ARV_DATA_I|NORMAL|AUX_REL_VIDA|VISIBLE|NONUNIQUE|VALID
ASC_CFI_FK_I|NORMAL|AST_CTT|VISIBLE|NONUNIQUE|VALID
ASC_PCO_FK_I|NORMAL|AST_CTT|VISIBLE|NONUNIQUE|VALID
ASC_PK|NORMAL|AST_CTT|VISIBLE|UNIQUE|VALID
ASR_PK|NORMAL|ASR|VISIBLE|UNIQUE|VALID
ASSUN_PK|NORMAL|T_ASS|VISIBLE|UNIQUE|VALID
ASSUN_UK|NORMAL|T_ASS|VISIBLE|UNIQUE|VALID
ASUDE_ASSUN_FK_I|NORMAL|T_ASS_DPT|VISIBLE|NONUNIQUE|VALID
ASUDE_DEPAR_FK_I|NORMAL|T_ASS_DPT|VISIBLE|NONUNIQUE|VALID
ASUDE_PK|NORMAL|T_ASS_DPT|VISIBLE|UNIQUE|VALID
ATC_PK|NORMAL|ATV_CTB|VISIBLE|UNIQUE|VALID
ATC_SUN_PK|NORMAL|ATV_CTB_SUN|VISIBLE|UNIQUE|VALID
AUD_MBC_PK|NORMAL|AUD_MVM_BNF_SBG_CDD|VISIBLE|UNIQUE|VALID
AUD_REG_DCM_PK|NORMAL|AUD_REG_DCM|VISIBLE|UNIQUE|VALID
AUTMO_MOD_FK_I|NORMAL|T_AUT_MOD|VISIBLE|NONUNIQUE|VALID
AUTMO_PK|NORMAL|T_AUT_MOD|VISIBLE|UNIQUE|VALID
AUX_REL_VIDA_IX|NORMAL|AUX_REL_VIDA|VISIBLE|NONUNIQUE|VALID
AUX_REL_VIDA_IX1|NORMAL|AUX_REL_VIDA|VISIBLE|NONUNIQUE|VALID
AUX_REL_VIDA_IX2|NORMAL|AUX_REL_VIDA|VISIBLE|NONUNIQUE|VALID
AUX_REL_VIDA_IX3|NORMAL|AUX_REL_VIDA|VISIBLE|NONUNIQUE|VALID
AVS_SNS_COLOMBO_PK|NORMAL|AVS_SNS_COLOMBO|VISIBLE|UNIQUE|VALID
A_IND|NORMAL|AB|VISIBLE|NONUNIQUE|VALID
BAE_ADU_FK_I|NORMAL|BNF_SBG_ADE_ETU|VISIBLE|NONUNIQUE|VALID
BAE_BSE_FK_I|NORMAL|BNF_SBG_ADE_ETU|VISIBLE|NONUNIQUE|VALID
BAE_PK|NORMAL|BNF_SBG_ADE_ETU|VISIBLE|UNIQUE|VALID
BEP_BAE_FK_I|NORMAL|BFR_MSS_ETU_PTT|VISIBLE|NONUNIQUE|VALID
BEP_BME_FK_I|NORMAL|BFR_MSS_ETU_PTT|VISIBLE|NONUNIQUE|VALID
BEP_PK|NORMAL|BFR_MSS_ETU_PTT|VISIBLE|UNIQUE|VALID
BEP_PTE_FK_I|NORMAL|BFR_MSS_ETU_PTT|VISIBLE|NONUNIQUE|VALID
BFR_BSA_FK_I|NORMAL|BFR|VISIBLE|NONUNIQUE|VALID
BFR_CFI_FK_I|NORMAL|BFR|VISIBLE|NONUNIQUE|VALID
BFR_EMS_FK_I|NORMAL|BFR|VISIBLE|NONUNIQUE|VALID
BFR_I|NORMAL|BFR|VISIBLE|NONUNIQUE|VALID
BFR_PK|NORMAL|BFR|VISIBLE|UNIQUE|VALID
BFR_PTA_FK_I|NORMAL|BFR|VISIBLE|NONUNIQUE|VALID
BME_GRP_FK_I|NORMAL|BFR_MSS_ETU|VISIBLE|NONUNIQUE|VALID
BME_MSE_FK_I|NORMAL|BFR_MSS_ETU|VISIBLE|NONUNIQUE|VALID
BME_PK|NORMAL|BFR_MSS_ETU|VISIBLE|UNIQUE|VALID
BNC_ESB_FK_I|NORMAL|BNC|VISIBLE|NONUNIQUE|VALID
BNC_NUM_UN|NORMAL|BNC|VISIBLE|UNIQUE|VALID
BNC_PK|NORMAL|BNC|VISIBLE|UNIQUE|VALID
BNP_PK|NORMAL|BNF_PAR|VISIBLE|UNIQUE|VALID
BRE_CPF_FK_I|NORMAL|BFR_RCL|VISIBLE|NONUNIQUE|VALID
BRE_GRP_FK_I|NORMAL|BFR_RCL|VISIBLE|NONUNIQUE|VALID
