select t.TABLE_NAME || '|' ||
       s.COLUMN_NAME || '|' ||
       s.DATA_TYPE || '|' ||
	   s.DATA_LENGTH || '|' ||
	   s.DATA_PRECISION || '|' ||
	   t.NUM_ROWS
from DBA_TABLES t,DBA_TAB_COLUMNS s
where t.table_name = s.table_name
and   t.OWNER  = '&schema';
&schema: VCPP
A|A|NUMBER|22||7
A|B|VARCHAR2|50||7
A|USR_ICS|VARCHAR2|30||7
A|DAT_ICS|DATE|7||7
A|TESTAO|NUMBER|22|3|7
A|A|NUMBER|22||7
A|B|VARCHAR2|6||7
A1000702|COD_CIA|NUMBER|22|2|211
A1000702|COD_AGENCIA|NUMBER|22|4|211
A1000702|COD_OFI_COMER|NUMBER|22|3|211
A1000702|COD_DIV_DREG|NUMBER|22|2|211
A1000702|COD_REG|NUMBER|22|3|211
A1000702|ABREV_AGENCIA|VARCHAR2|3||211
A1000702|NOM_AGENCIA|VARCHAR2|50||211
A1000702|RSOC_AGENCIA|VARCHAR2|50||211
A1000702|DOMI_AGENCIA|VARCHAR2|50||211
A1000702|LOC_AGENCIA|VARCHAR2|50||211
A1000702|CPOS_AGENCIA|VARCHAR2|10||211
A1000702|TEL_AGENCIA|VARCHAR2|14||211
A1000702|FAX_AGENCIA|VARCHAR2|14||211
A1000702|RESP_AGENCIA|VARCHAR2|30||211
A1000702|OBS_AGENCIA|VARCHAR2|30||211
A1000702|MARINH_AGENCIA|VARCHAR2|1||211
A1000702|FECINH_AGENCIA|DATE|7||211
A1000702|FECREH_AGENCIA|DATE|7||211
A1000702|COD_USR|VARCHAR2|8||211
A1000702|TELEX1_AGENCIA|VARCHAR2|14||211
A1000702|CGC_AGENCIA|VARCHAR2|20||211
A1000702|INSC_EST_AGENCIA|VARCHAR2|20||211
A1000702|INSC_MUN_AGENCIA|VARCHAR2|20||211
A1000702|TELEX2_AGENCIA|VARCHAR2|14||211
A1000702|TEL2_AGENCIA|VARCHAR2|14||211
A1000702|TEL3_AGENCIA|VARCHAR2|14||211
A1000702|TEL4_AGENCIA|VARCHAR2|14||211
A1000702|FAX2_AGENCIA|VARCHAR2|14||211
A1000702|BAIRRO_AGENCIA|VARCHAR2|30||211
A1000702|COD_UF|VARCHAR2|2||211
A1000702|MCA_ABRACOM|VARCHAR2|1||211
A1000702|AGENCIA_MAE|NUMBER|22|4|211
A1000702|COD_REGIAO_SUSEP|NUMBER|22|3|211
A1000702|DATA_ABERTURA|DATE|7||211
A1000702|FECHA_EQUIPO|DATE|7||211
A1000702|MCA_TRANSMIT|VARCHAR2|1||211
A1000702|NODO_ID|NUMBER|22|4|211
A1001300VID|FEC_EXPEDICION_VCR|DATE|7||53640
A1001300VID|TIP_ORG_EXPEDICION|VARCHAR2|3||53640
A1001300VID|COD_ACT_ECON_VCR|VARCHAR2|20||53640
A1001300VID|COD_PAIS_RESID_VCR|VARCHAR2|3||53640
A1001300VID|COD_CIA|NUMBER|22|2|53640
A1001300VID|COD_BENEF|NUMBER|22|18|53640
A1001300VID|COD_DOCUM|VARCHAR2|2||53640
A1001300VID|COD_ACT_BENEF|NUMBER|22|2|53640
A1001300VID|COD_CORR|NUMBER|22|5|53640
A1001300VID|NOM_BENEF|VARCHAR2|30||53640
A1001300VID|APE_BENEF|VARCHAR2|30||53640
A1001300VID|DOM_BENEF|VARCHAR2|50||53640
A1001300VID|LOC_BENEF|VARCHAR2|30||53640
A1001300VID|CPOS_BENEF|VARCHAR2|10||53640
A1001300VID|NUMERO|VARCHAR2|25||53640
A1001300VID|BAIRRO|VARCHAR2|30||53640
A1001300VID|COD_PROV|NUMBER|22|2|53640
A1001300VID|TEL_BENEF|VARCHAR2|14||53640
A1001300VID|DOM_COM_BENEF|VARCHAR2|50||53640
A1001300VID|LOC_COM_BENEF|VARCHAR2|30||53640
A1001300VID|CPOS_COM_BENEF|VARCHAR2|10||53640
A1001300VID|NUMERO_COM_BENEF|VARCHAR2|25||53640
A1001300VID|COD_PROV_COM|NUMBER|22|2|53640
