select t.OWNER || '|' ||
       t.TRIGGER_NAME || '|' ||
	   t.TABLE_NAME || '|' ||
	   t.TRIGGER_TYPE || '|' ||
	   t.COLUMN_NAME || '|' ||
	   t.STATUS
from DBA_TRIGGERS t;
SYSTEM|DEF$_PROPAGATOR_TRIG|DEF$_PROPAGATOR|BEFORE STATEMENT||ENABLED
SYSTEM|REPCATLOGTRIG|REPCAT$_REPCATLOG|AFTER STATEMENT||ENABLED
SEGUROWN|CRIA_USUARIO_TRONWEB|SEG_USUARIOS|AFTER EACH ROW||ENABLED
SEGUROWN|NIV_A_AUX_TRG|NIV_A_AUX|BEFORE EACH ROW||ENABLED
SEGUROWN|NIV_B_AUX_TRG|NIV_B_AUX|BEFORE EACH ROW||ENABLED
SEGUROWN|NIV_C_AUX_TRG|NIV_C_AUX|BEFORE EACH ROW||ENABLED
SEGUROWN|SEG_EXCECAO_FUNCOES_TRG|SEG_EXCECAO_FUNCOES|BEFORE EACH ROW||ENABLED
SEGUROWN|SEG_FUNCOES_TRG|SEG_FUNCOES|BEFORE EACH ROW||ENABLED
SEGUROWN|SEG_MODULOS_TRG|SEG_MODULOS|BEFORE EACH ROW||ENABLED
SEGUROWN|SEG_NIVEL_C_TRG|SEG_NIVEL_C|BEFORE EACH ROW||ENABLED
SEGUROWN|SEG_PERFIL_FUNCOES_TRG|SEG_PERFIL_FUNCOES|BEFORE EACH ROW||ENABLED
SEGUROWN|SEG_PERFIL_USUARIOS_TRG|SEG_PERFIL_USUARIOS|BEFORE EACH ROW||ENABLED
SEGUROWN|SEG_PERFIS_TRG|SEG_PERFIS|BEFORE EACH ROW||ENABLED
SEGUROWN|SEG_SISTEMAS_TRG|SEG_SISTEMAS|BEFORE EACH ROW||ENABLED
SEGUROWN|SEG_SUB_NIVEL_A_TRG|SEG_SUB_NIVEL_A|BEFORE EACH ROW||ENABLED
SEGUROWN|SEG_SUB_NIVEL_B_TRG|SEG_SUB_NIVEL_B|BEFORE EACH ROW||ENABLED
SEGUROWN|SEG_SUB_SIS_TRG|SEG_SUB_SIS|BEFORE EACH ROW||ENABLED
SEGUROWN|SEG_USUARIOS_TRG|SEG_USUARIOS|BEFORE EACH ROW||ENABLED
ESEGURO|TB_QUERY_SQL_TRG|TB_QUERY_SQL|BEFORE EACH ROW||ENABLED
VCPP|A324500T|BNC|AFTER EACH ROW||ENABLED
VCPP|A324600T|BNC|BEFORE EACH ROW||ENABLED
VCPP|A324700T|EST_BNC|AFTER EACH ROW||ENABLED
VCPP|A324800T|EST_BNC|BEFORE EACH ROW||ENABLED
VCPP|A325160T|ADM|AFTER EACH ROW||ENABLED
VCPP|A325170T|ADM|BEFORE EACH ROW||ENABLED
VCPP|A325246T|AGC_ADM_IPT_EMS|AFTER EACH ROW||ENABLED
VCPP|A325247T|AGC_ADM_IPT_EMS|BEFORE EACH ROW||ENABLED
VCPP|ADE_PND_TRG|ADE_PND|BEFORE EACH ROW||ENABLED
VCPP|ADE_TRG|ADE|AFTER EACH ROW||ENABLED
VCPP|ADE_TRG_2|ADE|BEFORE EACH ROW||ENABLED
VCPP|AGU_PRD_FCA_TGR|AGU_PRD_FCA|BEFORE EACH ROW||ENABLED
VCPP|A_TRG|A|BEFORE EACH ROW||ENABLED
VCPP|A_TRG_2|A|BEFORE EACH ROW||ENABLED
VCPP|BNF_CTO_TRG|BNF_CTO|BEFORE EACH ROW||ENABLED
VCPP|CLI_OPN_ETS_TRG|CLI_OPN_ETS|BEFORE EACH ROW||ENABLED
VCPP|CMO_CAP_ADE|CMO_CAP_ADE|BEFORE EACH ROW||ENABLED
VCPP|CMO_CTC_APL_TRG|CMO_CTC_APL|BEFORE EACH ROW||ENABLED
VCPP|CMO_DCM_CLI_TGR|CMO_DCM_CLI|BEFORE EACH ROW||ENABLED
VCPP|CMO_PPP_ADE|CMO_PPP_ADE|BEFORE EACH ROW||ENABLED
VCPP|CMO_PRD_CAP_TRG|CMO_PRD_CAP|BEFORE EACH ROW||ENABLED
VCPP|CMS_CTC_PRR_TRG|CMS_CTC_PRR|BEFORE EACH ROW||ENABLED
VCPP|COT_RFR_MNR_TGR|COT_RFR_MNR|BEFORE EACH ROW||ENABLED
VCPP|CRIA_USUARIO_TVC|ITC_BRA_OPER|AFTER EACH ROW||ENABLED
VCPP|CTC_RTR_BNF_SBG_TGR|CTC_RTR_BNF_SBG|BEFORE EACH ROW||ENABLED
VCPP|CTL_DST_FCA_TGR|CTL_DST_FCA|BEFORE EACH ROW||ENABLED
VCPP|CTL_EMS_FCA_TRG_AFT|CTL_EMS_FCA|AFTER EACH ROW||ENABLED
VCPP|CTL_EMS_FCA_TRG_BFR|CTL_EMS_FCA|BEFORE EACH ROW||ENABLED
VCPP|CTL_IMP_ATN_TRG|CTL_IMP_ATN|BEFORE EACH ROW||ENABLED
VCPP|CTL_RMS_RET_PAR_DTL_TRG|CTL_RMS_RET_PAR_DTL|BEFORE EACH ROW||ENABLED
VCPP|CTL_RMS_RET_PAR_TRG|CTL_RMS_RET_PAR|BEFORE EACH ROW||ENABLED
VCPP|CTL_TXA_APT_TRG|TXA_ADA_APT|BEFORE EACH ROW||ENABLED
VCPP|CTR_PRV_TRG|CTR_PRV|BEFORE EACH ROW||ENABLED
VCPP|CTS_PAG_DIV_TRG|CTS_PAG_DIV|BEFORE EACH ROW||ENABLED
VCPP|CTS_RCR_DIV_TRG|CTS_RCR_DIV|BEFORE EACH ROW||ENABLED
VCPP|CTS_RCR_DIV_TRG_DEL|CTS_RCR_DIV|BEFORE EACH ROW||ENABLED
VCPP|DCM_COB_TRG|DCM_COB|BEFORE EACH ROW||ENABLED
VCPP|DDO_CLI_ATL_TRG|DDO_CLI_ATL|BEFORE EACH ROW||ENABLED
VCPP|DDO_CTP_ATL_TRG|DDO_CTP_ATL|BEFORE EACH ROW||ENABLED
VCPP|DDO_PRL_ATL_TRG|DDO_PRL_ATL|BEFORE EACH ROW||ENABLED
VCPP|EMS_TRG|EMS|BEFORE EACH ROW||ENABLED
VCPP|EVT_CTC_RTR_TGR|EVT_CTC_RTR|BEFORE EACH ROW||ENABLED
VCPP|EVT_EST_TRG|EVT_EST|AFTER EACH ROW||ENABLED
VCPP|EVT_RSG_TGR|EVT_RSG|BEFORE EACH ROW||ENABLED
VCPP|FTA_TRG|FTA|BEFORE EACH ROW||ENABLED
VCPP|HOS_HIST_TRG|HOS|BEFORE EACH ROW||ENABLED
VCPP|MVM_BNF_PAR_TRG|MVM_BNF_PAR|BEFORE EACH ROW||ENABLED
VCPP|MVM_BNF_SBG_ADE_TRG|MVM_BNF_SBG_ADE|BEFORE EACH ROW||ENABLED
VCPP|MVM_RSR_BNF_SBG_TRG|MVM_RSR_BNF_SBG|AFTER EACH ROW||ENABLED
VCPP|NMC_DCM_COB_TRG|NMC_DCM_COB|BEFORE EACH ROW||ENABLED
VCPP|PCB_ALT_ENV_TRG|PRM_CNC_BNF|AFTER EACH ROW||ENABLED
VCPP|PCB_ALT_RET_TRG|PRM_CNC_BNF|AFTER EACH ROW||ENABLED
VCPP|PCT_PRL_PRO|PCT_PRL_PRO|BEFORE EACH ROW||ENABLED
VCPP|PRM_PRC_ARQ_DTL_TRG|PRM_PRC_ARQ_DTL|BEFORE EACH ROW||ENABLED
VCPP|PTT_ADE_TRG|PTT_ADE|BEFORE EACH ROW||ENABLED
VCPP|RAM_TRG|RAM|BEFORE EACH ROW||ENABLED
VCPP|TD_PERGUNTA|PERGUNTA|AFTER EACH ROW||ENABLED
VCPP|TIP_CAP|TIP_CAP|BEFORE EACH ROW||ENABLED
VCPP|TI_ITC_BRA_CFX|ITC_BRA_CFX|AFTER EACH ROW||ENABLED
VCPP|TI_ITC_PGT_DECISAO|ITC_PGT_DECISAO|AFTER EACH ROW||ENABLED
VCPP|TI_ITC_PGT_DISSERT|ITC_PGT_DISSERT|AFTER EACH ROW||ENABLED
VCPP|TI_ITC_QST_DECISAO|ITC_QST_DECISAO|AFTER EACH ROW||ENABLED
VCPP|TI_ITC_QST_DISSERT|ITC_QST_DISSERT|AFTER EACH ROW||ENABLED
VCPP|TI_ITC_QST_MULT|ITC_QST_MULT|AFTER EACH ROW||ENABLED
VCPP|TI_RESPOSTA|RESPOSTA|AFTER EACH ROW||ENABLED
VCPP|TR_SENNA|SENNA|AFTER EACH ROW||ENABLED
VCPP|TU_ITC_BRA_CFX|ITC_BRA_CFX|AFTER EACH ROW||ENABLED
VCPP|TU_ITC_PGT_DECISAO|ITC_PGT_DECISAO|AFTER EACH ROW||ENABLED
VCPP|TU_ITC_PGT_DISSERT|ITC_PGT_DISSERT|AFTER EACH ROW||ENABLED
VCPP|TU_ITC_PGT_MULT|ITC_PGT_MULT|AFTER EACH ROW||ENABLED
VCPP|TU_ITC_QST_DECISAO|ITC_QST_DECISAO|AFTER EACH ROW||ENABLED
VCPP|TU_ITC_QST_DISSERT|ITC_QST_DISSERT|AFTER EACH ROW||ENABLED
VCPP|TU_ITC_QST_MULT|ITC_QST_MULT|AFTER EACH ROW||ENABLED
VCPP|TU_PERGUNTA|PERGUNTA|AFTER EACH ROW||ENABLED
VCPP|TU_RESPOSTA|RESPOSTA|AFTER EACH ROW||ENABLED
VCPP|USR_WEB_LOG_TRG|USR_WEB|BEFORE EACH ROW||ENABLED
LIVEREORGADM|QUEST_SCRIPT_B4I|QUEST_SCRIPT|BEFORE EACH ROW||ENABLED
LIVEREORGADM|QUEST_SCRIPT_GROUP_B4I|QUEST_SCRIPT_GROUP|BEFORE EACH ROW||ENABLED
LIVEREORGADM|QUEST_SPC_ANALYSIS_GROUP_B4I|QUEST_SPC_ANALYSIS_GROUP|BEFORE EACH R
