select t.TABLE_NAME || '|' ||
       s.COLUMN_NAME || '|' ||
       s.DATA_TYPE || '|' ||
	   s.DATA_LENGTH || '|' ||
	   s.DATA_PRECISION || '|' ||
	   t.NUM_ROWS
from DBA_TABLES t,DBA_TAB_COLUMNS s
where t.table_name = s.table_name
and   t.OWNER  = '&schema';
&schema: SSR
A2009009_VCR|MCA_RENOV_OUTRAS|VARCHAR2|4||0
A2009009_VCR|NUM_POLIZA_RENOV|VARCHAR2|15||0
A2009009_VCR|MCA_ARQUIVO|VARCHAR2|2||0
A2009009_VCR|TIP_DOCUM|VARCHAR2|3||0
A2009009_VCR|COD_DOCUM|VARCHAR2|20||0
A2009009_VCR|FEC_EFEC_SPTO|DATE|7||0
A2009009_VCR|COD_CIA|NUMBER|22||0
A2009009_VCR|COD_RAMO|NUMBER|22||0
A2009009_VCR|NOM_RAMO|VARCHAR2|30||0
A2009009_VCR|NUM_POLIZA|VARCHAR2|13||0
A2009009_VCR|NUM_SPTO|NUMBER|22||0
A2009009_VCR|NUM_RIESGO|NUMBER|22||0
A2009009_VCR|NUM_SPTO_APLI|NUMBER|22||0
A2009009_VCR|FEC_EFEC_POLIZA|DATE|7||0
A2009009_VCR|FEC_VCTO_POLIZA|DATE|7||0
A2009009_VCR|COD_SUCURSAL|NUMBER|22||0
A2009009_VCR|SUCURSAL|VARCHAR2|30||0
A2009009_VCR|COD_TERRITORIAL|NUMBER|22||0
A2009009_VCR|TERRITORIAL|VARCHAR2|30||0
A2009009_VCR|CORRETOR|NUMBER|22||0
A2009009_VCR|CHASSI|VARCHAR2|17||0
A2009009_VCR|PLACA|VARCHAR2|11||0
A2009009_VCR|NOM_SEGURADO|VARCHAR2|80||0
A2009009_VCR|FEC_VCTO_SPTO|DATE|7||0
A2009009_VCR|COD_CIA_ANTECESSOR|NUMBER|22||0
A2009009_VCR|NUM_POLIZA_ANTECESSOR|VARCHAR2|15||0
A2009009_VCR|NUM_RIESGOS_ANTECESSOR|NUMBER|22||0
A2219001_VCR|COD_CIA|NUMBER|22|2|2
A2219001_VCR|NOM_FISICO_TAB_VCR|VARCHAR2|20||2
A2219001_VCR|COD_RAMO|NUMBER|22|3|2
A2219001_VCR|NOM_LOGICO_TAB_VCR|VARCHAR2|30||2
A2219001_VCR|TXT_TABELA_VCR|VARCHAR2|60||2
A2219001_VCR|COD_USR|VARCHAR2|8||2
A2219001_VCR|FEC_ACTU|DATE|7||2
A2219002_VCR|COD_CIA|NUMBER|22|2|100
A2219002_VCR|NOM_FISICO_TAB_VCR|VARCHAR2|20||100
A2219002_VCR|NOM_FISICO_COL_VCR|VARCHAR2|30||100
A2219002_VCR|NOM_LOGICO_COL_VCR|VARCHAR2|30||100
A2219002_VCR|TXT_COL_VCR|VARCHAR2|50||100
A2219002_VCR|MCA_CHAVE_VCR|VARCHAR2|1||100
A2219002_VCR|MCA_CHAVE_ESTRANGEIRA_VCR|VARCHAR2|1||100
A2219002_VCR|NOM_FISICO_TAB_FK_VCR|VARCHAR2|20||100
A2219002_VCR|NOM_FISICO_COL_FK_VCR|VARCHAR2|30||100
A2219002_VCR|TXT_TIPO_DADO_COL_VCR|VARCHAR2|20||100
A2219002_VCR|TXT_DOMINIO_VCR|VARCHAR2|30||100
A2219003_VCR|COD_CIA|NUMBER|22|2|11
A2219003_VCR|COD_PROCESSO_VCR|VARCHAR2|4||11
A2219003_VCR|TXT_PROCESSO_VCR|VARCHAR2|50||11
A2219003_VCR|COD_USR|VARCHAR2|8||11
A2219003_VCR|FEC_ACTU|DATE|7||11
A2219004_VCR|COD_CIA|NUMBER|22|2|2
A2219004_VCR|MCA_REGRA_VCR|VARCHAR2|1||2
A2219004_VCR|TXT_TIPO_REGRA_VCR|VARCHAR2|30||2
A2219005_VCR|COD_CIA|NUMBER|22|2|2
A2219005_VCR|MCA_EXECUCAO_REGRA_VCR|VARCHAR2|1||2
A2219005_VCR|TXT_TIPO_EXECUCAO_VCR|VARCHAR2|30||2
