select t.TABLE_NAME || '|' ||
       t.CONSTRAINT_NAME || '|' ||
     t.COLUMN_NAME
from DBA_CONS_COLUMNS t
where t.OWNER = '&schema';
&schema: TRON2000
LOG_LOCALIDADE|SYS_C001684871|LOC_NU
LOG_LOGRADOURO|SYS_C001684870|BAI_NU_INI
LOG_LOGRADOURO|SYS_C001684869|CEP
A5029202_VCR|SYS_C001327738|COD_CIA
A5029202_VCR|PK_A5029202_VCR|COD_CIA
A5029202_VCR|PK_A5029202_VCR|FEC_PROCESO
A5029202_VCR|SYS_C001327739|FEC_PROCESO
A5029202_VCR|PK_A5029202_VCR|FEC_ACTU
A5029202_VCR|SYS_C001327740|FEC_ACTU
A5029202_VCR|PK_A5029202_VCR|COD_USR
A5029202_VCR|SYS_C001327741|COD_USR
A5609001_VCR|PK_A5609001_VCR|COD_CIA
A5609001_VCR|SYS_C001327777|COD_CIA
A5609001_VCR|SYS_C001327778|COD_CIA_SUSEP_VCR
A5609001_VCR|SYS_C001327779|FEC_PROCESO
A5609001_VCR|SYS_C001327780|NUM_REMESSA_VCR
A5609001_VCR|PK_A5609001_VCR|NUM_REMESSA_VCR
A5609001_VCR|SYS_C001327781|TIP_REMESA_VCR
A5609001_VCR|PK_A5609001_VCR|NUM_MVTO
A5609001_VCR|SYS_C001327782|NUM_MVTO
A5609001_VCR|PK_A5609001_VCR|NUM_POLIZA
A5609001_VCR|SYS_C001327783|NUM_POLIZA
A5609001_VCR|PK_A5609001_VCR|NUM_SPTO
A5609001_VCR|SYS_C001327784|NUM_SPTO
A5609001_VCR|SYS_C001327785|NUM_APLI
A5609001_VCR|PK_A5609001_VCR|NUM_APLI
A5609001_VCR|PK_A5609001_VCR|NUM_SPTO_APLI
A5609001_VCR|SYS_C001327786|NUM_SPTO_APLI
A5609001_VCR|PK_A5609001_VCR|COD_RAMO_SUSEP_VCR
LOG_BAIRRO|SYS_C001684872|BAI_NU
A2309006_VCR|PK_A2309006_VCR|COD_CIA
A2309006_VCR|SYS_C001311733|COD_CIA
A2309006_VCR|PK_A2309006_VCR|NUM_POLIZA
A2309006_VCR|SYS_C001311734|NUM_POLIZA
A2309006_VCR|PK_A2309006_VCR|NUM_SPTO
A2309006_VCR|SYS_C001311735|NUM_SPTO
A2309006_VCR|PK_A2309006_VCR|NUM_APLI
A2309006_VCR|SYS_C001311736|NUM_APLI
A2309006_VCR|PK_A2309006_VCR|NUM_SPTO_APLI
A2309006_VCR|SYS_C001311737|NUM_SPTO_APLI
A2309006_VCR|PK_A2309006_VCR|NUM_RIESGO
A2309006_VCR|SYS_C001311738|NUM_RIESGO
A2309006_VCR|PK_A2309006_VCR|FEC_VCTO_SPTO
A2309006_VCR|SYS_C001311739|FEC_VCTO_SPTO
A2309006_VCR|SYS_C001311740|NUM_PERIODO
A2309006_VCR|PK_A2309006_VCR|COD_RAMO
A2309006_VCR|SYS_C001311741|COD_RAMO
A2309006_VCR|SYS_C001311742|COD_MODALIDAD
A2309006_VCR|SYS_C001311743|COD_DOCUM
A2309006_VCR|SYS_C001311744|NOM_ASEG_VCR
A2309006_VCR|SYS_C001311745|FEC_NACIMIENTO
A2309006_VCR|SYS_C001311746|NOM_DOMICILIO1
A2309006_VCR|SYS_C001311747|NOM_LOCALIDAD
A2309006_VCR|SYS_C001311748|COD_POSTAL
