select t.TABLE_NAME || '|' ||
       s.COLUMN_NAME || '|' ||
       s.DATA_TYPE || '|' ||
     s.DATA_LENGTH || '|' ||
     s.DATA_PRECISION || '|' ||
     t.NUM_ROWS
from DBA_TABLES t,DBA_TAB_COLUMNS s
where t.table_name = s.table_name
and   t.OWNER  = '&schema';
&schema: TRON2000
TMP_A2000030_AUDI|ACAO|VARCHAR2|2000||25002
TMP_A2000030_AUDI|USUARIO_BD|VARCHAR2|2000||25002
TMP_A2000030_AUDI|USUARIO_SO|VARCHAR2|2000||25002
TMP_A2000030_AUDI|IP_CLIENTE|VARCHAR2|2000||25002
TMP_A2000030_AUDI|CLIENTE|VARCHAR2|2000||25002
TMP_A2000030_AUDI|INSTANCIA|VARCHAR2|2000||25002
TMP_A2000030_AUDI|SERVIDOR|VARCHAR2|2000||25002
TMP_A2000030_AUDI|DAT_EXCLUSAO|DATE|7||25002
TMP_A2000030_AUDI|COD_CUADRO_COA|VARCHAR2|10||25002
TMP_A2000030_AUDI|COD_DST_AGT|NUMBER|22|5|25002
TMP_A2000030_AUDI|NUM_POLIZA_SIGUIENTE|VARCHAR2|13||25002
TMP_A2000030_AUDI|TIP_POLIZA_TR|VARCHAR2|1||25002
TMP_A2000030_AUDI|MCA_REASEGURO_MARCO|VARCHAR2|1||25002
TMP_A2000030_AUDI|FEC_ACTU|DATE|7||25002
TMP_A2000030_AUDI|COD_NIVEL3_CAPTURA|NUMBER|22|4|25002
TMP_A2000030_AUDI|COD_USR|VARCHAR2|8||25002
TMP_A2000030_AUDI|MCA_EXCLUSIVO|VARCHAR2|1||25002
TMP_A2000030_AUDI|MCA_IMPRESION|VARCHAR2|1||25002
TMP_A2000030_AUDI|MCA_DATOS_MINIMOS|VARCHAR2|1||25002
TMP_A2000030_AUDI|MCA_SPTO_TMP|VARCHAR2|1||25002
TMP_A2000030_AUDI|FEC_SPTO_ANULADO|DATE|7||25002
TMP_A2000030_AUDI|NUM_SPTO_ANULADO|NUMBER|22|5|25002
TMP_A2000030_AUDI|MCA_SPTO_ANULADO|VARCHAR2|1||25002
TMP_A2000030_AUDI|MCA_POLIZA_ANULADA|VARCHAR2|1||25002
TMP_A2000030_AUDI|FEC_AUTORIZACION|DATE|7||25002
TMP_A2000030_AUDI|MCA_PROVISIONAL|VARCHAR2|1||25002
TMP_A2000030_AUDI|MCA_PRIMA_MANUAL|VARCHAR2|1||25002
TMP_A2000030_AUDI|MCA_PRORRATA|VARCHAR2|1||25002
TMP_A2000030_AUDI|MCA_REASEGURO_MANUAL|VARCHAR2|1||25002
TMP_A2000030_AUDI|MCA_TOMADORES_ALT|VARCHAR2|1||25002
TMP_A2000030_AUDI|COD_EJECUTIVO|NUMBER|22|6|25002
TMP_A2000030_AUDI|COD_ENVIO|VARCHAR2|2||25002
TMP_A2000030_AUDI|DURACION_PAGO_PRIMA|NUMBER|22|2|25002
TMP_A2000030_AUDI|PCT_AGT4|NUMBER|22||25002
TMP_A2000030_AUDI|COD_AGT4|NUMBER|22|6|25002
TMP_A2000030_AUDI|PCT_AGT3|NUMBER|22||25002
TMP_A2000030_AUDI|COD_AGT3|NUMBER|22|6|25002
TMP_A2000030_AUDI|PCT_AGT2|NUMBER|22||25002
TMP_A2000030_AUDI|COD_AGT2|NUMBER|22|6|25002
TMP_A2000030_AUDI|DIAS_MAX_DURACION|NUMBER|22|3|25002
TMP_A2000030_AUDI|MESES_MAX_DURACION|NUMBER|22|2|25002
TMP_A2000030_AUDI|ANIOS_MAX_DURACION|NUMBER|22|4|25002
TMP_A2000030_AUDI|COD_INDICE|NUMBER|22|2|25002
TMP_A2000030_AUDI|PCT_REGULARIZA|NUMBER|22||25002
TMP_A2000030_AUDI|TIP_REGULARIZA|VARCHAR2|1||25002
TMP_A2000030_AUDI|MCA_REGULARIZA|VARCHAR2|1||25002
TMP_A2000030_AUDI|COD_GESTOR|VARCHAR2|13||25002
TMP_A2000030_AUDI|TIP_GESTOR|VARCHAR2|2||25002
