select t.INDEX_NAME || '|' ||
       t.INDEX_TYPE || '|' ||
	   t.TABLE_NAME || '|' ||
	   t.VISIBILITY || '|' ||
       t.UNIQUENESS || '|' ||
	   t.STATUS
from DBA_INDEXES t
where t.OWNER = '&schema';
&schema: ARISADM
SYS_C0016235|NORMAL|OCTOPUS_SPACE|VISIBLE|UNIQUE|VALID
IDX_OCTOPUS_SPACE_WA|NORMAL|OCTOPUS_SPACE|VISIBLE|NONUNIQUE|VALID
IDX_OCTOPUS_SPACE_B|NORMAL|OCTOPUS_SPACE|VISIBLE|NONUNIQUE|VALID
SYS_IL0000115731C00004$$|LOB|OCTOPUS_SPACE|VISIBLE|UNIQUE|VALID
SYS_C0016233|NORMAL|OCTOPUS_QUERY|VISIBLE|UNIQUE|VALID
IDX_OCTOPUS_QUERY_WA|NORMAL|OCTOPUS_QUERY|VISIBLE|NONUNIQUE|VALID
IDX_OCTOPUS_QUERY_B|NORMAL|OCTOPUS_QUERY|VISIBLE|NONUNIQUE|VALID
SYS_IL0000115727C00004$$|LOB|OCTOPUS_QUERY|VISIBLE|UNIQUE|VALID
SYS_C0016231|NORMAL|OCTOPUS_PROPERTIES|VISIBLE|UNIQUE|VALID
IDX_OCTOPUS_PATHFINDING_B|NORMAL|OCTOPUS_PATHFINDING|VISIBLE|NONUNIQUE|VALID
IDX_OCTOPUS_PATHFINDING_WA|NORMAL|OCTOPUS_PATHFINDING|VISIBLE|NONUNIQUE|VALID
SYS_IL0000115721C00004$$|LOB|OCTOPUS_PATHFINDING|VISIBLE|UNIQUE|VALID
SYS_C0016229|NORMAL|OCTOPUS_PATHFINDING|VISIBLE|UNIQUE|VALID
SYS_C0016227|NORMAL|OCTOPUS_LOCALE|VISIBLE|UNIQUE|VALID
IDX_OCTOPUS_LOCALE_WA|NORMAL|OCTOPUS_LOCALE|VISIBLE|NONUNIQUE|VALID
IDX_OCTOPUS_LOCALE_B|NORMAL|OCTOPUS_LOCALE|VISIBLE|NONUNIQUE|VALID
SYS_IL0000115717C00004$$|LOB|OCTOPUS_LOCALE|VISIBLE|UNIQUE|VALID
SYS_C0016225|NORMAL|OCTOPUS_GROUP|VISIBLE|UNIQUE|VALID
IDX_OCTOPUS_GROUP_WA|NORMAL|OCTOPUS_GROUP|VISIBLE|NONUNIQUE|VALID
IDX_OCTOPUS_GROUP_B|NORMAL|OCTOPUS_GROUP|VISIBLE|NONUNIQUE|VALID
SYS_IL0000115713C00004$$|LOB|OCTOPUS_GROUP|VISIBLE|UNIQUE|VALID
SYS_IL0000115691C00004$$|LOB|OCTOPUS_FI_PATHFINDING|VISIBLE|UNIQUE|VALID
SYS_IL0000115691C00005$$|LOB|OCTOPUS_FI_PATHFINDING|VISIBLE|UNIQUE|VALID
SYS_IL0000115691C00006$$|LOB|OCTOPUS_FI_PATHFINDING|VISIBLE|UNIQUE|VALID
SYS_IL0000115691C00007$$|LOB|OCTOPUS_FI_PATHFINDING|VISIBLE|UNIQUE|VALID
SYS_IL0000115691C00008$$|LOB|OCTOPUS_FI_PATHFINDING|VISIBLE|UNIQUE|VALID
SYS_IL0000115691C00009$$|LOB|OCTOPUS_FI_PATHFINDING|VISIBLE|UNIQUE|VALID
SYS_IL0000115691C00010$$|LOB|OCTOPUS_FI_PATHFINDING|VISIBLE|UNIQUE|VALID
SYS_IL0000115691C00011$$|LOB|OCTOPUS_FI_PATHFINDING|VISIBLE|UNIQUE|VALID
SYS_IL0000115691C00012$$|LOB|OCTOPUS_FI_PATHFINDING|VISIBLE|UNIQUE|VALID
SYS_IL0000115691C00013$$|LOB|OCTOPUS_FI_PATHFINDING|VISIBLE|UNIQUE|VALID
SYS_C0016223|NORMAL|OCTOPUS_FI_PATHFINDING|VISIBLE|UNIQUE|VALID
SYS_C0016220|NORMAL|OCTOPUS_FI_GROUP|VISIBLE|UNIQUE|VALID
SYS_IL0000115669C00004$$|LOB|OCTOPUS_FI_GROUP|VISIBLE|UNIQUE|VALID
SYS_IL0000115669C00005$$|LOB|OCTOPUS_FI_GROUP|VISIBLE|UNIQUE|VALID
SYS_IL0000115669C00006$$|LOB|OCTOPUS_FI_GROUP|VISIBLE|UNIQUE|VALID
SYS_IL0000115669C00007$$|LOB|OCTOPUS_FI_GROUP|VISIBLE|UNIQUE|VALID
SYS_IL0000115669C00008$$|LOB|OCTOPUS_FI_GROUP|VISIBLE|UNIQUE|VALID
SYS_IL0000115669C00009$$|LOB|OCTOPUS_FI_GROUP|VISIBLE|UNIQUE|VALID
SYS_IL0000115669C00010$$|LOB|OCTOPUS_FI_GROUP|VISIBLE|UNIQUE|VALID
SYS_IL0000115669C00011$$|LOB|OCTOPUS_FI_GROUP|VISIBLE|UNIQUE|VALID
SYS_IL0000115669C00012$$|LOB|OCTOPUS_FI_GROUP|VISIBLE|UNIQUE|VALID
SYS_IL0000115669C00013$$|LOB|OCTOPUS_FI_GROUP|VISIBLE|UNIQUE|VALID
SYS_IL0000115647C00004$$|LOB|OCTOPUS_FI_ANALYSIS|VISIBLE|UNIQUE|VALID
SYS_IL0000115647C00005$$|LOB|OCTOPUS_FI_ANALYSIS|VISIBLE|UNIQUE|VALID
SYS_IL0000115647C00006$$|LOB|OCTOPUS_FI_ANALYSIS|VISIBLE|UNIQUE|VALID
SYS_IL0000115647C00007$$|LOB|OCTOPUS_FI_ANALYSIS|VISIBLE|UNIQUE|VALID
SYS_IL0000115647C00008$$|LOB|OCTOPUS_FI_ANALYSIS|VISIBLE|UNIQUE|VALID
SYS_IL0000115647C00009$$|LOB|OCTOPUS_FI_ANALYSIS|VISIBLE|UNIQUE|VALID
SYS_IL0000115647C00010$$|LOB|OCTOPUS_FI_ANALYSIS|VISIBLE|UNIQUE|VALID
SYS_IL0000115647C00011$$|LOB|OCTOPUS_FI_ANALYSIS|VISIBLE|UNIQUE|VALID
SYS_IL0000115647C00012$$|LOB|OCTOPUS_FI_ANALYSIS|VISIBLE|UNIQUE|VALID
SYS_IL0000115647C00013$$|LOB|OCTOPUS_FI_ANALYSIS|VISIBLE|UNIQUE|VALID
SYS_C0016217|NORMAL|OCTOPUS_FI_ANALYSIS|VISIBLE|UNIQUE|VALID
SYS_C0016214|NORMAL|OCTOPUS_EXECUTIONRESULT|VISIBLE|UNIQUE|VALID
IDX_OCTOPUS_EXECUTIONRESULT_WA|NORMAL|OCTOPUS_EXECUTIONRESULT|VISIBLE|NONUNIQUE|
IDX_OCTOPUS_EXECUTIONRESULT_B|NORMAL|OCTOPUS_EXECUTIONRESULT|VISIBLE|NONUNIQUE|V
SYS_IL0000115643C00004$$|LOB|OCTOPUS_EXECUTIONRESULT|VISIBLE|UNIQUE|VALID
SYS_IL0000115639C00006$$|LOB|OCTOPUS_B_SPACE|VISIBLE|UNIQUE|VALID
SYS_C0016212|NORMAL|OCTOPUS_B_SPACE|VISIBLE|UNIQUE|VALID
SYS_IL0000115635C00006$$|LOB|OCTOPUS_B_QUERY|VISIBLE|UNIQUE|VALID
SYS_C0016208|NORMAL|OCTOPUS_B_QUERY|VISIBLE|UNIQUE|VALID
SYS_IL0000115631C00006$$|LOB|OCTOPUS_B_PATHFINDING|VISIBLE|UNIQUE|VALID
SYS_C0016204|NORMAL|OCTOPUS_B_PATHFINDING|VISIBLE|UNIQUE|VALID
SYS_IL0000115627C00006$$|LOB|OCTOPUS_B_LOCALE|VISIBLE|UNIQUE|VALID
SYS_C0016200|NORMAL|OCTOPUS_B_LOCALE|VISIBLE|UNIQUE|VALID
SYS_IL0000115623C00006$$|LOB|OCTOPUS_B_GROUP|VISIBLE|UNIQUE|VALID
SYS_C0016196|NORMAL|OCTOPUS_B_GROUP|VISIBLE|UNIQUE|VALID
SYS_IL0000115601C00005$$|LOB|OCTOPUS_B_FI_PATHFINDING|VISIBLE|UNIQUE|VALID
SYS_IL0000115601C00006$$|LOB|OCTOPUS_B_FI_PATHFINDING|VISIBLE|UNIQUE|VALID
SYS_IL0000115601C00007$$|LOB|OCTOPUS_B_FI_PATHFINDING|VISIBLE|UNIQUE|VALID
SYS_IL0000115601C00008$$|LOB|OCTOPUS_B_FI_PATHFINDING|VISIBLE|UNIQUE|VALID
SYS_IL0000115601C00009$$|LOB|OCTOPUS_B_FI_PATHFINDING|VISIBLE|UNIQUE|VALID
SYS_IL0000115601C00010$$|LOB|OCTOPUS_B_FI_PATHFINDING|VISIBLE|UNIQUE|VALID
SYS_IL0000115601C00011$$|LOB|OCTOPUS_B_FI_PATHFINDING|VISIBLE|UNIQUE|VALID
SYS_IL0000115601C00012$$|LOB|OCTOPUS_B_FI_PATHFINDING|VISIBLE|UNIQUE|VALID
SYS_IL0000115601C00013$$|LOB|OCTOPUS_B_FI_PATHFINDING|VISIBLE|UNIQUE|VALID
SYS_IL0000115601C00014$$|LOB|OCTOPUS_B_FI_PATHFINDING|VISIBLE|UNIQUE|VALID
SYS_C0016192|NORMAL|OCTOPUS_B_FI_PATHFINDING|VISIBLE|UNIQUE|VALID
SYS_IL0000115579C00005$$|LOB|OCTOPUS_B_FI_GROUP|VISIBLE|UNIQUE|VALID
SYS_IL0000115579C00006$$|LOB|OCTOPUS_B_FI_GROUP|VISIBLE|UNIQUE|VALID
SYS_IL0000115579C00007$$|LOB|OCTOPUS_B_FI_GROUP|VISIBLE|UNIQUE|VALID
SYS_IL0000115579C00008$$|LOB|OCTOPUS_B_FI_GROUP|VISIBLE|UNIQUE|VALID
SYS_IL0000115579C00009$$|LOB|OCTOPUS_B_FI_GROUP|VISIBLE|UNIQUE|VALID
SYS_IL0000115579C00010$$|LOB|OCTOPUS_B_FI_GROUP|VISIBLE|UNIQUE|VALID
SYS_IL0000115579C00011$$|LOB|OCTOPUS_B_FI_GROUP|VISIBLE|UNIQUE|VALID
SYS_IL0000115579C00012$$|LOB|OCTOPUS_B_FI_GROUP|VISIBLE|UNIQUE|VALID
SYS_IL0000115579C00013$$|LOB|OCTOPUS_B_FI_GROUP|VISIBLE|UNIQUE|VALID
SYS_IL0000115579C00014$$|LOB|OCTOPUS_B_FI_GROUP|VISIBLE|UNIQUE|VALID
SYS_C0016188|NORMAL|OCTOPUS_B_FI_GROUP|VISIBLE|UNIQUE|VALID
SYS_IL0000115557C00005$$|LOB|OCTOPUS_B_FI_ANALYSIS|VISIBLE|UNIQUE|VALID
SYS_IL0000115557C00006$$|LOB|OCTOPUS_B_FI_ANALYSIS|VISIBLE|UNIQUE|VALID
SYS_IL0000115557C00007$$|LOB|OCTOPUS_B_FI_ANALYSIS|VISIBLE|UNIQUE|VALID
SYS_IL0000115557C00008$$|LOB|OCTOPUS_B_FI_ANALYSIS|VISIBLE|UNIQUE|VALID
SYS_IL0000115557C00009$$|LOB|OCTOPUS_B_FI_ANALYSIS|VISIBLE|UNIQUE|VALID
SYS_IL0000115557C00010$$|LOB|OCTOPUS_B_FI_ANALYSIS|VISIBLE|UNIQUE|VALID
SYS_IL0000115557C00011$$|LOB|OCTOPUS_B_FI_ANALYSIS|VISIBLE|UNIQUE|VALID
SYS_IL0000115557C00012$$|LOB|OCTOPUS_B_FI_ANALYSIS|VISIBLE|UNIQUE|VALID
SYS_IL0000115557C00013$$|LOB|OCTOPUS_B_FI_ANALYSIS|VISIBLE|UNIQUE|VALID
SYS_IL0000115557C00014$$|LOB|OCTOPUS_B_FI_ANALYSIS|VISIBLE|UNIQUE|VALID
SYS_C0016184|NORMAL|OCTOPUS_B_FI_ANALYSIS|VISIBLE|UNIQUE|VALID
