select t.TABLE_NAME || '|' ||
       s.COLUMN_NAME || '|' ||
       s.DATA_TYPE || '|' ||
	   s.DATA_LENGTH || '|' ||
	   s.DATA_PRECISION || '|' ||
	   t.NUM_ROWS
from DBA_TABLES t,DBA_TAB_COLUMNS s
where t.table_name = s.table_name
and   t.OWNER  = '&schema';
&schema: ARISADM
ECP_DB_VERSION|MAJOR|NUMBER|22|5|206
ECP_DB_VERSION|MINOR|NUMBER|22|5|206
ECP_DB_VERSION|PATCH|VARCHAR2|5||206
ECP_DB_VERSION|SCRIPTNAME|VARCHAR2|50||206
ECP_DB_VERSION|DESCRIPTION|CLOB|4000||206
ECP_DB_VERSION|TIMESTAMP|DATE|7||206
ECP_DB_VERSION|REPAIRTYPE|VARCHAR2|255||206
ECP_FEEDREADER|ID|NUMBER|22|24|0
ECP_FEEDREADER|DATEADDED|DATE|7||0
ECP_FEEDREADER|MODULEID|VARCHAR2|255||0
ECP_FEEDREADER|OPENSOCIALID|VARCHAR2|255||0
ECP_FEEDREADER|URL|VARCHAR2|255||0
ECP_FEEDREADER|FEEDTITLE|VARCHAR2|255||0
ECP_PERSISTENTLOGIN|ID|NUMBER|22|24|0
ECP_PERSISTENTLOGIN|VERSION|NUMBER|22|24|0
ECP_PERSISTENTLOGIN|ACCOUNTID|VARCHAR2|255||0
ECP_PERSISTENTLOGIN|TOKENEXPIRATIONDATE|NUMBER|22|24|0
ECP_PERSISTENTLOGIN|TOKENVALUE|VARCHAR2|255||0
ECP_RECOMMENDATION|ID|NUMBER|22|24|0
ECP_RECOMMENDATION|VERSION|NUMBER|22|24|0
ECP_RECOMMENDATION|AUTHOROPENSOCIALID|VARCHAR2|255||0
ECP_RECOMMENDATION|DATE_|DATE|7||0
ECP_RECOMMENDATION|SUBJECTOPENSOCIALID|VARCHAR2|255||0
ECP_RECOMMENDATION|TEXT|VARCHAR2|250||0
ECP_STREAMITEMID|ID|NUMBER|22|24|0
ECP_STREAMITEMID|VERSION|NUMBER|22|24|0
ECP_BACKGROUND_AFFILIATIONS|BACKGROUND_ID|NUMBER|22|24|0
ECP_BACKGROUND_AFFILIATIONS|BACKGROUNDITEM_ID|NUMBER|22|24|0
ECP_BACKGROUND_AFFILIATIONS|AFFILIATIONINDEX|NUMBER|22|10|0
COP_A_DELTACONFIGSETS|ROWKEY|VARCHAR2|255||0
COP_A_DELTACONFIGSETS|ASN|NUMBER|22|10|0
COP_A_DELTACONFIGSETS|ROWSTATE|VARCHAR2|255||0
COP_A_DELTACONFIGSETS|EXPLICIT|NUMBER|22|10|0
COP_A_DELTACONFIGSETS|DUPLICATE|NUMBER|22|10|0
COP_A_DELTACONFIGSETS|CSIGNORE|NUMBER|22|10|0
COP_A_DELTACONFIGSETS|CLANID|NUMBER|22|10|0
COP_A_DELTACONFIGSETS|SVALUE|BLOB|4000||0
COP_A_FILEBUNDLESTAGING|ROWKEY|VARCHAR2|255||0
COP_A_FILEBUNDLESTAGING|ASN|NUMBER|22|10|0
COP_A_FILEBUNDLESTAGING|ROWSTATE|VARCHAR2|255||0
COP_A_FILEBUNDLESTAGING|EXPLICIT|NUMBER|22|10|0
COP_A_FILEBUNDLESTAGING|DUPLICATE|NUMBER|22|10|0
COP_A_FILEBUNDLESTAGING|CSIGNORE|NUMBER|22|10|0
COP_A_FILEBUNDLESTAGING|CLANID|NUMBER|22|10|0
COP_A_FILEBUNDLESTAGING|SVALUE|BLOB|4000||0
COP_A_MODSETREL|ROWKEY|VARCHAR2|255||0
COP_A_MODSETREL|ASN|NUMBER|22|10|0
COP_A_MODSETREL|ROWSTATE|VARCHAR2|255||0
COP_A_MODSETREL|EXPLICIT|NUMBER|22|10|0
COP_A_MODSETREL|DUPLICATE|NUMBER|22|10|0
COP_A_MODSETREL|CSIGNORE|NUMBER|22|10|0
COP_A_MODSETREL|CLANID|NUMBER|22|10|0
COP_A_MODSETREL|SVALUE|BLOB|4000||0
COP_A_MODSETS|ROWKEY|VARCHAR2|255||0
