select t.TABLE_NAME || '|' ||
       s.COLUMN_NAME || '|' ||
       s.DATA_TYPE || '|' ||
	   s.DATA_LENGTH || '|' ||
	   s.DATA_PRECISION || '|' ||
	   t.NUM_ROWS
from DBA_TABLES t,DBA_TAB_COLUMNS s
where t.table_name = s.table_name
and   t.OWNER  = '&schema';
&schema: CRIVOADM
ACOMPANHAMENTO_EXPORTACAO|ID_ACOMPANHAMENTO_EXPORTACAO|NUMBER|22|10|0
ACOMPANHAMENTO_EXPORTACAO|NOME|VARCHAR2|50||0
ACOMPANHAMENTO_EXPORTACAO|TIPO|NUMBER|22|3|0
ACOMPANHAMENTO_EXPORTACAO|DIRETORIO|VARCHAR2|255||0
ACOMPANHAMENTO_EXPORTACAO|ID_USUARIO|NUMBER|22|10|0
ACOMPANHAMENTO_EXPORTACAO|STATUS|NUMBER|22|3|0
ACOMPANHAMENTO_EXPORTACAO|LINHAS_PROC|NUMBER|22|10|0
ACOMPANHAMENTO_EXPORTACAO|LINHAS_TOTAL|NUMBER|22|10|0
ACOMPANHAMENTO_EXPORTACAO|DATA_INICIO|DATE|7||0
LOGDECISAO|ID_LOGDECISAO|NUMBER|22|15|68854
LOGDECISAO|ID_LOG|NUMBER|22|10|68854
LOGDECISAO|RESULTADOPONTOS|NUMBER|22|38|68854
LOGDECISAO|ID_RESPOSTA|NUMBER|22|10|68854
LOGDECISAO|ID_SISTEMA|NUMBER|22|10|68854
LOGDECISAO|LIMITE|NUMBER|22|38|68854
LOGDECISAO|ID_DECISAOPAI|NUMBER|22|15|68854
LOGDECISAO|RESPOSTAFINAL|NUMBER|22|1|68854
LOGDECISAO|JUSTIFICATIVAS|CLOB|4000||68854
LOGDECISAO|ID_CRITERIO|NUMBER|22|10|68854
LOGDECISAO|ID_FOTO|NUMBER|22|10|68854
LOGDECISAO|DATA|DATE|7||68854
LOGDETALHE|ID_LOGDETALHE|NUMBER|22|15|0
LOGDETALHE|ID_DETALHE|NUMBER|22|10|0
LOGDETALHE|VALOR|NUMBER|22|10|0
LOGDETALHE|ID_LOG|NUMBER|22|10|0
LOGDETALHE|VALORDATA|DATE|7||0
LOGDETALHE|VALORDECIMAL|NUMBER|22|38|0
LOGDETALHE|DATA|DATE|7||0
LOGDISCRETA|ID_LOGDISCRETA|NUMBER|22|15|0
LOGDISCRETA|ID_LOG|NUMBER|22|10|0
LOGDISCRETA|VALOR|VARCHAR2|200||0
LOGDISCRETA|ID_DETALHEDISCRETA|NUMBER|22|10|0
LOGDISCRETA|DATA|DATE|7||0
LOGERRO|ID_LOGERRO|NUMBER|22|10|0
LOGERRO|ID_LOG|NUMBER|22|10|0
LOGERRO|XMLERRO|CLOB|4000||0
LOGERRO|DATA|DATE|7||0
LOGFASTCACHE|ID_LOGFASTCACHE|NUMBER|22|10|0
LOGFASTCACHE|ID_LOG|NUMBER|22|10|0
LOGFASTCACHE|ID_PRODUTO|NUMBER|22|10|0
LOGFASTCACHE|MD5|CHAR|32||0
LOGFASTCACHE|MD5_UPPERCASE|CHAR|32||0
LOGPARAMETRO|ID_LOGPARAMETRO|NUMBER|22|15|206612
LOGPARAMETRO|ID_LOG|NUMBER|22|10|206612
LOGPARAMETRO|PARAMETRO|VARCHAR2|255||206612
LOGPARAMETRO|VALOR|VARCHAR2|500||206612
LOGPARAMETRO|VALORLIMPO|VARCHAR2|500||206612
LOGPARAMETRO|ID_TIPOPARAMETRO|NUMBER|22|10|206612
LOGPARAMETRO|ORDEMATRIBUICAO|NUMBER|22|10|206612
LOGPARAMETRO|DATA|DATE|7||206612
LOGRAWDATA|ID_LOGRAWDATA|NUMBER|22|10|0
LOGRAWDATA|ID_LOG|NUMBER|22|10|0
LOGRAWDATA|ID_PRODUTO|NUMBER|22|10|0
LOGRAWDATA|ID_LOGRAWDATAPAI|NUMBER|22|10|0
LOGRAWDATA|RAWDATA|BLOB|4000||0
LOGRAWDATA|COMPACTADO|NUMBER|22|1|0
LOTE|ID_LOTE|NUMBER|22|10|2
