select t.TABLE_NAME || '|' ||
       s.COLUMN_NAME || '|' ||
       s.DATA_TYPE || '|' ||
	   s.DATA_LENGTH || '|' ||
	   s.DATA_PRECISION || '|' ||
	   t.NUM_ROWS
from DBA_TABLES t,DBA_TAB_COLUMNS s
where t.table_name = s.table_name
and   t.OWNER  = '&schema';
&schema: GDESPADM
GD_KIT_PROCESSO|ID|NUMBER|22||14516
GD_KIT_PROCESSO|NO_SINISTRO|NUMBER|22|20|14516
GD_KIT_PROCESSO|ID_CIA|NUMBER|22||14516
GD_KIT_PROCESSO|ID_CICLO|NUMBER|22||14516
GD_KIT_PROCESSO|ID_KIT|NUMBER|22||14516
GD_KIT_PROCESSO|FL_VISUALIZADO|CHAR|1||14516
GD_LOG_WORKFLOW_PROCESSO|ID|NUMBER|22||212512
GD_LOG_WORKFLOW_PROCESSO|ID_PROCESSO|NUMBER|22||212512
GD_LOG_WORKFLOW_PROCESSO|ID_CIA|NUMBER|22||212512
GD_LOG_WORKFLOW_PROCESSO|ID_EVENTO|NUMBER|22||212512
GD_LOG_WORKFLOW_PROCESSO|ID_STATUS_PROCESSO|NUMBER|22||212512
GD_LOG_WORKFLOW_PROCESSO|ID_RESPONSAVEL|NUMBER|22||212512
GD_LOG_WORKFLOW_PROCESSO|NO_SINISTRO|VARCHAR2|100||212512
GD_LOG_WORKFLOW_PROCESSO|ID_CICLO|NUMBER|22||212512
GD_LOG_WORKFLOW_PROCESSO|OCORRENCIA|VARCHAR2|200||212512
GD_LOG_WORKFLOW_PROCESSO|OBSERVACAO|VARCHAR2|4000||212512
GD_LOG_WORKFLOW_PROCESSO|DATA_HORA_EVENTO|TIMESTAMP(6)|11||212512
GD_COMUNICACAO|ID|NUMBER|22||366302
GD_COMUNICACAO|ID_CONFIG_TP_COMUNIC|NUMBER|22||366302
GD_COMUNICACAO|NM_COMUNICACAO|VARCHAR2|500||366302
GD_COMUNICACAO|DT_HR_GERACAO|TIMESTAMP(6)|11||366302
GD_COMUNICACAO|DT_HR_ENVIO|TIMESTAMP(6)|11||366302
GD_COMUNICACAO|ID_STATUS_ENVIO|NUMBER|22||366302
GD_COMUNICACAO|DE_OBSERVACAO_ENVIO|VARCHAR2|1000||366302
GD_COMUNICACAO|DE_ERRO_ENVIO|VARCHAR2|1000||366302
GD_COMUNICACAO|ID_USUARIO_GERADOR|NUMBER|22||366302
GD_COMUNICACAO|DS_TICKET_MAIL_CORP|VARCHAR2|200||366302
GD_COMUNICACAO_ENVIADA|ID|NUMBER|22||353924
GD_COMUNICACAO_ENVIADA|ID_CICLO_PROCESSO|NUMBER|22||353924
GD_COMUNICACAO_ENVIADA|ID_COMUNICACAO|NUMBER|22||353924
GD_COMUNICACAO_ENVIADA|ID_STATUS_PROC_NO_ENVIO_EMAIL|NUMBER|22||353924
GD_COMUNICACAO_ENVIADA|ID_REENVIO|NUMBER|22||353924
GD_COMUNICACAO_ENVIADA|FL_LIDA|CHAR|1||353924
GD_COMUNICACAO_ENVIADA|FL_RESPONDIDA|CHAR|1||353924
GD_COMUNICACAO_ENVIADA|NM_USUARIO_ENVIO|VARCHAR2|300||353924
GD_DESTINATARIO|ID|NUMBER|22||240061
GD_DESTINATARIO|ID_COMUNICACAO|NUMBER|22||240061
GD_DESTINATARIO|DESTINATARIO|VARCHAR2|4000||240061
GD_GABARITO_COMUNICACAO|ID|NUMBER|22||363006
GD_GABARITO_COMUNICACAO|ID_PAI|NUMBER|22||363006
GD_GABARITO_COMUNICACAO|ID_COMUNICACAO|NUMBER|22||363006
GD_GABARITO_COMUNICACAO|MENSAGEM|VARCHAR2|4000||363006
GD_GABARITO_COMUNICACAO|SIGLA_SISTEMA|VARCHAR2|10||363006
GD_GABARITO_COMUNICACAO|CHAVE_APLICACAO|VARCHAR2|100||363006
GD_GABARITO_COMUNICACAO|ASSUNTO|VARCHAR2|4000||363006
GD_GABARITO_COMUNICACAO|ANEXO|VARCHAR2|250||363006
